contigs	predictions	scores
k79_22988	2;1239;186801;186802;31979;1485;1492	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_32186	2;1239;186801;3085636;186803;3342669;45851	1.0;1.0;0.99999;0.99999;0.99999;0.99999;0.99999
k79_13805	2;1239;186801;186802;216572;1263;2564099	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_23001	2;1239;91061;1385;186817;182709;2954748	1.0;1.0;1.0;1.0;0.99999;0.99999;0.99999
k79_9212	2;1239;186801;186802;31979;1485;1491;498214	0.99727;0.99043;0.96455;0.9603;0.95986;0.95981;0.5134;0.5134
k79_32197	2;976;200643;171549;815;816;371601;657309	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_30	2;201174;1760;85004;31953;1678;216816;1682	1.0;0.99999;0.99999;0.99999;0.99999;0.99999;0.99999;0.99999
k79_32210	2;976;200643;171549;815;909656;821	1.0;0.9996;0.9996;0.9996;0.99958;0.64969;0.64966
k79_9219	2;1239;186801;3085636;186803;3342669;45851	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_45	2;1239;186801;3085636;186803;841;301301	1.0;1.0;1.0;0.99991;0.99991;0.99987;0.99987
k79_18430	2;1239;186801;186802;216572;1263;2564099	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_9232	131567	0.99987
k79_54	2;1239;186801;3085636;186803;3342669;45851	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_13814	2;1239;186801;186802;3047432;3047433;2086585	1.0;0.99999;0.98598;0.9827;0.94814;0.94814;0.94814
k79_4623	2;1239;186801;186802;31979;1485;97138	1.0;0.99816;0.99794;0.99756;0.99722;0.99722;0.94785
k79_13828	2;1239;186801;186802;216572;216851;853;657322	1.0;1.0;1.0;1.0;1.0;0.99999;0.99999;0.99999
k79_32227	2;1239;186801;3085636;186803;3342669;45851	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_4641	2;1239;91061;186826;33958;2767887;1624	1.0;0.98217;0.57861;0.55685;0.54165;0.54165;0.54165
k79_13834	2;1239;91061;1385;186817;1386;1428	1.0;1.0;0.99998;0.99998;0.99998;0.99997;0.99997
