clustername	contigname
1	k79_22831
1	k79_22524
1	k79_10604
1	k79_10462
1	k79_26449
1	k79_7769
1	k79_24272
1	k79_16821
1	k79_30054
1	k79_8893
1	k79_23856
1	k79_708
1	k79_21281
1	k79_8815
1	k79_4623
1	k79_12107
1	k79_26306
1	k79_29554
1	k79_17817
1	k79_29998
1	k79_26973
1	k79_15523
1	k79_7084
1	k79_8141
1	k79_25608
1	k79_4342
1	k79_19581
1	k79_2711
1	k79_12065
1	k79_29296
1	k79_22821
1	k79_8866
1	k79_20005
1	k79_953
1	k79_34502
1	k79_22430
1	k79_22856
1	k79_3611
1	k79_7475
1	k79_7913
1	k79_28355
1	k79_11598
1	k79_31847
1	k79_23054
1	k79_7533
1	k79_11485
1	k79_1106
1	k79_26569
1	k79_34666
1	k79_13088
1	k79_12775
1	k79_7394
1	k79_7464
1	k79_11303
1	k79_10805
1	k79_28337
1	k79_34309
1	k79_6663
1	k79_35160
1	k79_9552
1	k79_10641
1	k79_26676
1	k79_234
1	k79_18541
1	k79_29424
1	k79_24903
1	k79_29916
1	k79_11985
1	k79_26035
1	k79_13355
1	k79_15141
2	k79_4002
2	k79_20364
2	k79_11202
2	k79_10834
2	k79_30275
2	k79_18275
2	k79_8041
2	k79_30078
2	k79_33998
2	k79_29355
2	k79_13351
2	k79_8766
2	k79_22429
2	k79_9656
2	k79_15870
2	k79_23613
2	k79_26749
2	k79_272
2	k79_33900
2	k79_2824
2	k79_2257
2	k79_2897
2	k79_25303
2	k79_35466
2	k79_10894
2	k79_4224
2	k79_14881
2	k79_26162
2	k79_28885
2	k79_22531
2	k79_6681
2	k79_20682
2	k79_29620
2	k79_25370
2	k79_27381
2	k79_32560
2	k79_5635
2	k79_28074
2	k79_5596
2	k79_6293
2	k79_26225
2	k79_651
2	k79_32309
2	k79_12293
2	k79_54
2	k79_24269
2	k79_2974
2	k79_33917
2	k79_35219
2	k79_28493
2	k79_12426
2	k79_3152
2	k79_29047
2	k79_32364
2	k79_31724
2	k79_7388
2	k79_33981
2	k79_14466
2	k79_28197
2	k79_15563
2	k79_17726
2	k79_1220
2	k79_33276
2	k79_22057
2	k79_28739
2	k79_7947
2	k79_32281
2	k79_25003
2	k79_13369
2	k79_7880
2	k79_25519
2	k79_34829
2	k79_28523
2	k79_23897
2	k79_35913
2	k79_35417
2	k79_2561
2	k79_29807
2	k79_24276
2	k79_36408
2	k79_4402
2	k79_11586
2	k79_34311
2	k79_13930
2	k79_5182
2	k79_20907
2	k79_20128
2	k79_33685
2	k79_2527
2	k79_18023
2	k79_22843
2	k79_5504
2	k79_31385
2	k79_12249
2	k79_14242
2	k79_13884
2	k79_36470
2	k79_11776
2	k79_16181
2	k79_12597
2	k79_36086
2	k79_34590
2	k79_34409
2	k79_36557
2	k79_1073
2	k79_17596
2	k79_28860
2	k79_21536
2	k79_9021
2	k79_29913
2	k79_17149
2	k79_24005
2	k79_15524
2	k79_12805
2	k79_10073
2	k79_3636
2	k79_8732
2	k79_3662
2	k79_4580
2	k79_24826
2	k79_25658
2	k79_35632
2	k79_21239
2	k79_3601
2	k79_35572
2	k79_5125
2	k79_7531
2	k79_26637
2	k79_32681
2	k79_13384
2	k79_1935
2	k79_22309
2	k79_10354
2	k79_6577
2	k79_18742
2	k79_29967
2	k79_5649
2	k79_17828
2	k79_2760
2	k79_24313
2	k79_7459
2	k79_4229
2	k79_13756
2	k79_22321
2	k79_9219
2	k79_14618
2	k79_16506
2	k79_20142
2	k79_19849
2	k79_281
2	k79_23378
2	k79_20980
2	k79_11130
2	k79_26105
2	k79_31384
2	k79_26382
2	k79_7799
2	k79_33807
2	k79_29873
2	k79_31158
2	k79_4221
2	k79_5982
2	k79_21380
2	k79_15153
2	k79_28935
2	k79_13878
2	k79_36680
2	k79_24373
2	k79_22071
2	k79_143
2	k79_20357
2	k79_9816
2	k79_21480
2	k79_33671
2	k79_22411
2	k79_24438
2	k79_18446
2	k79_15078
2	k79_29351
2	k79_17560
2	k79_15912
2	k79_12460
2	k79_29973
2	k79_28999
2	k79_17809
2	k79_30450
2	k79_22389
2	k79_5857
2	k79_32084
2	k79_28898
2	k79_9815
2	k79_22252
2	k79_29242
2	k79_34242
2	k79_11754
2	k79_626
2	k79_8122
2	k79_31109
2	k79_2301
2	k79_6156
2	k79_29438
2	k79_20776
2	k79_14857
2	k79_17107
2	k79_3091
2	k79_26448
2	k79_13058
2	k79_26094
2	k79_34983
2	k79_16798
2	k79_36356
2	k79_28019
2	k79_3665
2	k79_8769
2	k79_12713
2	k79_27939
2	k79_18678
2	k79_30726
2	k79_33749
2	k79_13020
2	k79_26361
2	k79_23916
