contigs	predictions
k79_13791	2;1239;186801;186802;216572;216851;2929489
k79_32179	2;1239;186801;186802;216572;1263;2564099
k79_22985	2;1239;186801;3085636;186803;572511;2479767
k79_0	2;1239;186801;186802;216572;2892396;2714353
k79_22986	
k79_1	
k79_13792	
k79_22987	2;976;200643;171549;815;816;28111
k79_18388	2;976;200643;171549;171550;239759;328814;717959
k79_2	
k79_9194	2;1239;186801;3085636;186803;207244;649756
k79_13793	2;976;200643;171549;815;909656;821
k79_18389	
k79_13794	2;1239;186801;3085636;186803;572511;2479767
k79_32180	2;3018035;1553900;2024973;2024974;2698753;2493639
k79_3	
k79_9195	2;976;200643;171549
k79_18390	2;1239;91061;1385;186822;55080;2496837
k79_32181	2;976;200643;171549;815;816;820
k79_9196	
k79_13795	2;976;200643;171549;2005525;375288;46503
k79_32182	
k79_4	2;1239;186801;3085636;186803;2569097;39488
k79_18391	2;1239;186801;3085636;186803;2569097;39488
k79_32183	
k79_13796	2;1239;186801;3085636;186803;1766253;39491
k79_9197	
k79_5	2;976;200643;171549;815;909656;821
k79_18392	2;976;200643;171549;2005525;375288;46503
k79_32184	2;1239;186801;186802;216572;1263;2564099
k79_22988	2;1239;186801;186802;31979;1485;1492
k79_6	
k79_18393	2;1239;186801;3085636;186803;2569097;39488
k79_32185	2;1239;186801;3085636;186803;2569097;39488
k79_9198	2;1239;186801;3082720;186804;1870884;1496
k79_7	2;1239;186801;3085636;186803;2569097;39488
k79_22989	
k79_13797	2;1239;186801;3085636;186803;572511;40520;411459
k79_8	
k79_9199	
k79_9	
k79_13798	2;976;200643;171549;815;816;820
k79_18394	2;976;200643;171549;815;909656;821
k79_18395	2;1239;186801;3085636;186803;2316020;33039
k79_13799	2;1239;186801;3085636;186803;2569097;39488
k79_10	2;1239;186801;186802;216572;1263;2564099
k79_22990	2;976;200643;171549;815;909656;821
k79_9200	2;1239;186801;3085636;186803;3342669;45851
k79_22991	
k79_18396	2;976;200643;171549;815;816;820
k79_13800	2;1239;91061;1385;90964;1279;1282
k79_9201	2;976;200643;171549;2005525;375288;46503
k79_18397	2;1239;186801;3085636;186803;207244;649756
k79_11	2;1239;186801;186802;216572;1263;2564099
k79_22992	2;976;200643;171549;815;816;820
k79_13801	2;1239;186801;3085636;186803;2569097;39488
k79_18398	2;976;200643;171549;815;816;28111
k79_12	
k79_9202	2;1239;186801;3085636;186803;2569097;39488
k79_22993	
k79_13802	2;976;200643;171549;815;909656;821
k79_13	2;1239;186801;3085636;186803;2944152;2763670
k79_18399	2;1239;909932;1843489;31977;39948;2161821
k79_22994	2;1239;186801;186802;216572;1263;2564099
k79_14	2;1239;186801;186802;216572;1263;2564099
k79_32186	2;1239;186801;3085636;186803;3342669;45851
k79_13803	2;1239;186801;3085636;186803
k79_9203	2;976;200643;171549;815;816;820
k79_18400	
k79_22995	
k79_15	
k79_13804	2;1239;186801;3085636;186803
k79_16	2;976;200643;171549;815;816
k79_32187	2;976;200643;171549;815;909656;821
k79_22996	
k79_18401	2;976;200643;171549;815;909656;821
k79_22997	2;976;200643;171549;815;909656
k79_9204	2;1239;186801;3085636;186803;207244;649756;649757
k79_22998	
k79_32188	2
k79_9205	2;1239;186801;3085636;186803;207244;649756;649757
k79_32189	2;976;200643;171549;815;816;820
k79_22999	2;1239;186801;186802;216572;2892396;2714353
k79_18402	
k79_17	2;976;200643;171549;171550;239759;328813;2585117
k79_23000	2;1239;186801
k79_18403	2;1239;186801;3085636;186803;841;166486;657315
k79_13805	2;1239;186801;186802;216572;1263;2564099
k79_18	
k79_9206	
k79_13806	2;1239;186801;186802;216572;2172004;2108523
k79_18404	2;1239;186801;186802;216572;1263;2564099
k79_19	
k79_32190	
k79_20	2;976;200643;171549;815;816;820
k79_13807	2;1239;186801;3085636;186803;2569097;39488
k79_18405	2;976;200643;171549;815;816;818
k79_9207	2;1239;186801;186802;216572;1263;2564099
k79_13808	2;1239;186801;3085636;186803;572511;418240;1121115
k79_21	
k79_9208	2;976;200643;171549
k79_18406	
k79_32191	2;976;200643;171549;815;909656;821
k79_13809	2;1239;186801;3085636;186803;207244;649756
k79_32192	
k79_13810	2;1239;186801;3085636;186803;1766253;39491
k79_18407	2;1239;186801;186802;216572;216851;2646395
k79_9209	2;976;200643;171549;815;816;820
k79_22	2;976;200643;171549;815;909656;821
k79_18408	
k79_13811	
k79_9210	2;976;200643;171549;815;816;820
k79_32193	
k79_18409	2;1239;186801;3085636;186803;2569097;39488
k79_23	
k79_13812	2;976;200643;171549;815;816;820
k79_9211	2;976;200643;171549;2005525;375288
k79_18410	2;1239;186801;3085636;186803;2944152;2763670
k79_13813	
k79_32194	
k79_18411	2;976;200643;171549;815;909656;821
k79_24	
k79_25	2;976;200643;171549;815;909656;821
k79_18412	
k79_18413	2;1239;186801;186802;216572;1263;2564099
k79_32195	2;976;117743;200644;2762318;34084;34085
k79_23001	2;1239;91061;1385;186817;182709;2954748
k79_32196	2;1239;186801;3085636;186803
k79_26	
k79_23002	2;1239;186801
k79_18414	2;1239;186801;186802;216572;1263;2564099
k79_9212	
k79_18415	2;976;200643;171549;815;909656;821
k79_23003	2;976;200643;171549;815;816;820
k79_27	2;976;200643;171549;815;816
k79_18416	2;1239;186801;3085636;186803;2569097;39488
k79_23004	
k79_28	2;976;200643;171549;815;909656;821
k79_23005	
k79_9213	2;1239;186801;3085636;186803;207244;649756
k79_4597	2;1239;186801;3085636;186803;2569097;39488
k79_29	2;1239;526524;526525;2810280;2678885;1982626
k79_27582	2;976;200643;171549;815;909656;821
k79_32197	2;976;200643;171549;815;816;371601;657309
k79_23006	
k79_9214	2;1239;186801;3085636;186803;207244;649756
k79_4598	2;1239;186801;3085636;186803;207244;649756
k79_32198	2;976;200643;171549;1853231;283168;28118
k79_23007	
k79_9215	2;1239;186801;186802;216572;1263;2564099
k79_27583	2;1239;186801;186802;31979;1485;1561;1415775
k79_4599	2;1239;186801;3085636;186803;2569097;39488
k79_23008	
k79_32199	2;1239;186801;3085636;186803;2569097;39488
k79_9216	
k79_27584	2;1239;186801;3085636;186803;2569097;39488
k79_4600	2;976;200643;171549;815;816;820
k79_23009	
k79_32200	2;976;200643;171549;815;909656;821
k79_9217	
k79_23010	
k79_4601	2;976;200643;171549;815;816;820
k79_32201	2;1239;186801;3085636;186803;2719313;208479
k79_9218	2;1239;186801;186802;216572;459786;2109687
k79_27585	2;976;200643;171549;815;909656;821
k79_23011	2;976;200643;171549;815;909656;821
k79_32202	2;976;200643;171549;815;816;820
k79_23012	2;976;200643;171549;815;816;28111
k79_32203	2;976;200643;171549;815;909656;821
k79_23013	2;1239;909932;1843489;31977;39948;2582419
k79_30	2;201174;1760;85004;31953;1678;216816;1682
