contigname	ERR011349_ERR011349
k79_13791	6.21693
k79_32179	8.00388
k79_22985	5.52961
k79_0	5.45714
k79_22986	2.52976
k79_1	15.3708
k79_13792	4.5277
k79_22987	3.32479
k79_18388	8.00961
k79_2	2.11888
k79_9194	9.0359
k79_13793	2.82609
k79_18389	4.65546
k79_13794	1.56557
k79_32180	11.6103
k79_3	5.65957
k79_9195	11.1176
k79_18390	8.63441
k79_32181	5.20168
k79_9196	3.28205
k79_13795	3.62557
k79_32182	6.70787
k79_4	3.98905
k79_18391	3.69106
k79_32183	2.85385
k79_13796	2.072
k79_9197	9.97071
k79_5	5.70253
k79_18392	3.21831
k79_32184	4.52239
k79_22988	7.01984
k79_6	9.17
k79_18393	7.26619
k79_32185	3.94406
k79_9198	9.91987
k79_7	4.58065
k79_22989	3.85811
k79_13797	3.97321
k79_8	5.23711
k79_9199	3.51145
k79_9	4.53968
k79_13798	6.55026
k79_18394	5.15768
k79_18395	2.6
k79_13799	4.6
k79_10	6.85802
k79_22990	8.80626
k79_9200	18.8743
k79_22991	8.45055
k79_18396	5.42754
k79_13800	4.78924
k79_9201	5.77974
k79_18397	7.33529
k79_11	7.55759
k79_22992	3.40408
k79_13801	4.70438
k79_18398	3.13
k79_12	4.05469
k79_9202	3.55217
k79_22993	5.0219
k79_13802	6.16495
k79_13	4.91912
k79_18399	15.2747
k79_22994	13.5053
k79_14	9.28906
k79_32186	63.0418
k79_13803	3.02469
k79_9203	5.06349
k79_18400	3.6
k79_22995	11.1107
k79_15	17.7516
k79_13804	4.64286
k79_16	6.61798
k79_32187	8.66163
k79_22996	5.50781
k79_18401	7.26058
k79_22997	4.2037
k79_9204	4.83598
k79_22998	1.91538
k79_32188	6.39036
k79_9205	3.20979
k79_32189	9.56
k79_22999	9.01361
k79_18402	10.6394
k79_17	6.15429
k79_23000	4.66972
k79_18403	4.71921
k79_13805	6.77736
k79_18	4.57219
k79_9206	5.33053
k79_13806	3.14894
k79_18404	5.7205
k79_19	4.80734
k79_32190	4.54
k79_20	4.33019
k79_13807	3.77095
k79_18405	30.225
k79_9207	5.94901
k79_13808	4.24742
k79_21	8.63243
k79_9208	4.12143
k79_18406	3.97357
k79_32191	5.51446
k79_13809	8.37109
k79_32192	3.26415
k79_13810	6.42574
k79_18407	6.0
k79_9209	4.21538
k79_22	6.30786
k79_18408	5.47899
k79_13811	5.07075
k79_9210	5.86508
k79_32193	10.9002
k79_18409	4.17054
k79_23	13.1522
k79_13812	14.3034
k79_9211	2.71818
k79_18410	4.45082
k79_13813	3.69608
k79_32194	14.1924
k79_18411	4.02703
k79_24	8.66565
k79_25	6.75
k79_18412	9.30932
k79_18413	9.24096
k79_32195	6.088
k79_23001	9.0263
k79_32196	5.95192
k79_26	11.9649
k79_23002	7.77536
k79_18414	8.11628
k79_9212	11.4056
k79_18415	6.62703
k79_23003	7.96552
k79_27	9.5
k79_18416	7.49219
k79_23004	5.08029
k79_28	9.28667
k79_23005	5.77679
k79_9213	6.13761
k79_4597	3.89175
k79_29	2.81982
k79_27582	2.37079
k79_32197	19.6737
k79_23006	8.03814
k79_9214	6.56951
k79_4598	5.82079
k79_32198	2.55814
k79_23007	4.87143
k79_9215	6.1
k79_27583	45.6503
k79_4599	4.8125
k79_23008	3.71981
k79_32199	6.00676
k79_9216	7.40845
k79_27584	3.81667
k79_4600	9.41322
k79_23009	5.08696
k79_32200	5.28571
k79_9217	5.37895
k79_23010	5.80292
k79_4601	5.18894
k79_32201	4.74
k79_9218	2.55758
k79_27585	11.7152
