Genome	ERR011347_corrected_1.fastq.gz Mean	ERR011347_corrected_1.fastq.gz Relative Abundance (%)	ERR011347_corrected_1.fastq.gz Covered Fraction	ERR011348_corrected_1.fastq.gz Mean	ERR011348_corrected_1.fastq.gz Relative Abundance (%)	ERR011348_corrected_1.fastq.gz Covered Fraction	ERR011349_corrected_1.fastq.gz Mean	ERR011349_corrected_1.fastq.gz Relative Abundance (%)	ERR011349_corrected_1.fastq.gz Covered Fraction
unmapped	NA	79.5707	NA	NA	77.91011	NA	NA	59.870064	NA
ERR011347_MEGAHIT_TaxVamb_dRep.2	7.342672	1.8253374	0.9871711	3.636228	0.7015336	0.924537	0.19579874	0.07332043	0.15249474
ERR011347_MEGAHIT_TaxVamb_dRep.43	8.950723	2.225088	0.99991953	2.1654344	0.41777495	0.80368495	0	0	0
ERR011348_MEGAHIT_MetaBinner_dRep.1	15.105538	3.755132	0.99218476	24.528881	4.732331	0.99996626	0	0	0
ERR011348_MEGAHIT_MetaBinner_dRep.6_sub	3.885467	0.9659002	0.8000138	8.760434	1.6901413	0.9999327	3.6796823	1.3779247	0.74384326
ERR011348_MEGAHIT_TaxVamb_dRep.10	9.616874	2.3906884	0.97060907	11.091993	2.1399665	0.9999471	0	0	0
ERR011348_MEGAHIT_TaxVamb_dRep.15_sub	4.4146943	1.0974625	0.8999775	7.958255	1.5353777	0.9998951	0.85525227	0.32026494	0.38621774
ERR011348_MEGAHIT_TaxVamb_dRep.16	2.1583302	0.53654593	0.68581593	9.873097	1.9048061	0.9998872	0.58522546	0.21914844	0.31515837
ERR011348_MEGAHIT_TaxVamb_dRep.20	5.7476454	1.4288248	0.97048354	4.888858	0.94320226	0.95455897	0.15831363	0.05928345	0.12869847
ERR011348_MEGAHIT_TaxVamb_dRep.21	4.7619953	1.183799	0.93435526	7.3153567	1.4113439	0.9998769	2.1072598	0.78910214	0.6460107
ERR011348_MEGAHIT_TaxVamb_dRep.44	4.5232773	1.1244553	0.8987069	7.7223125	1.4898576	0.99994844	0	0	0
ERR011348_MEGAHIT_TaxVamb_dRep.5	9.53689	2.3708048	0.963738	15.074352	2.908279	0.9999741	2.28799	0.85677993	0.60169494
ERR011348_MEGAHIT_TaxVamb_dRep.6_sub	6.13555	1.5252553	0.9590638	11.482368	2.2152812	0.9998281	0.35836172	0.13419513	0.18797001
ERR011349_MEGAHIT_TaxVamb_dRep.1	0	0	0	0	0	0	47.985294	17.968975	0.999992
ERR011349_MEGAHIT_TaxVamb_dRep.2	0	0	0	0	0	0	48.95191	18.330942	0.99997646
