name	taxonomy_id	taxonomy_lvl	ERR011347_contigs.bracken_num	ERR011347_contigs.bracken_frac	ERR011349_contigs.bracken_num	ERR011349_contigs.bracken_frac	ERR011348_contigs.bracken_num	ERR011348_contigs.bracken_frac
Mediterraneibacter	2316020	G	6730	0.09797	175	0.00746	6193	0.08963
Blautia	572511	G	5572	0.08112	438	0.01868	4639	0.06714
Agathobacter	1766253	G	4700	0.06842	156	0.00665	3282	0.04750
Anaerostipes	207244	G	4185	0.06093	2332	0.09946	3171	0.04589
Coprococcus	33042	G	3119	0.04541	175	0.00746	2071	0.02997
Anaerobutyricum	2569097	G	2332	0.03395	2741	0.11690	2658	0.03847
Dorea	189330	G	1764	0.02568	610	0.02602	4358	0.06307
Roseburia	841	G	929	0.01352	285	0.01216	837	0.01211
Lachnoclostridium	1506553	G	188	0.00274	63	0.00269	174	0.00252
Simiaoa	2944193	G	108	0.00157	27	0.00115	123	0.00178
Enterocloster	2719313	G	84	0.00122	37	0.00158	127	0.00184
Lachnospira	28050	G	108	0.00157	139	0.00593	67	0.00097
Butyrivibrio	830	G	52	0.00076	469	0.02000	49	0.00071
Claveliimonas	3076670	G	32	0.00047	0	0.00000	42	0.00061
Wujia	2944152	G	25	0.00036	217	0.00925	20	0.00029
Wansuia	2944198	G	23	0.00033	0	0.00000	26	0.00038
Lacrimispora	2719231	G	23	0.00033	0	0.00000	36	0.00052
Anaerocolumna	1843210	G	23	0.00033	11	0.00047	21	0.00030
Marvinbryantia	248744	G	22	0.00032	0	0.00000	36	0.00052
Qiania	2944195	G	21	0.00031	0	0.00000	28	0.00041
Sellimonas	1769710	G	17	0.00025	0	0.00000	18	0.00026
Novisyntrophococcus	2888809	G	15	0.00022	0	0.00000	12	0.00017
Chordicoccus	3031933	G	13	0.00019	0	0.00000	0	0.00000
Lachnoanaerobaculum	1164882	G	11	0.00016	0	0.00000	14	0.00020
Faecalibacterium	216851	G	2497	0.03635	593	0.02529	3902	0.05647
Ruminococcus	1263	G	2519	0.03667	2519	0.10743	1739	0.02517
Vescimonas	2892396	G	335	0.00488	643	0.02742	864	0.01250
Oscillibacter	459786	G	136	0.00198	81	0.00345	192	0.00278
Subdoligranulum	292632	G	124	0.00181	24	0.00102	432	0.00625
Dysosmobacter	2591381	G	119	0.00173	39	0.00166	98	0.00142
Flavonifractor	946234	G	111	0.00162	53	0.00226	189	0.00274
Ruthenibacterium	1905344	G	60	0.00087	61	0.00260	198	0.00287
Pusillibacter	2892397	G	38	0.00055	16	0.00068	63	0.00091
Lawsonibacter	2172004	G	33	0.00048	14	0.00060	58	0.00084
Caproicibacterium	2834348	G	31	0.00045	0	0.00000	39	0.00056
Anaerotruncus	244127	G	27	0.00039	15	0.00064	42	0.00061
Eubacterium	1730	G	2263	0.03294	98	0.00418	281	0.00407
Clostridium	1485	G	284	0.00413	343	0.01463	242	0.00350
Hungatella	1649459	G	25	0.00036	0	0.00000	39	0.00056
Intestinimonas	1392389	G	85	0.00124	42	0.00179	160	0.00232
Flintibacter	1918454	G	27	0.00039	0	0.00000	45	0.00065
Massilistercora	2717089	G	21	0.00031	0	0.00000	51	0.00074
Caproiciproducens	1738645	G	16	0.00023	0	0.00000	21	0.00030
Agathobaculum	2048137	G	16	0.00023	0	0.00000	29	0.00042
Clostridioides	1870884	G	173	0.00252	138	0.00589	196	0.00284
Romboutsia	1501226	G	12	0.00017	12	0.00051	0	0.00000
Filifactor	44259	G	15	0.00022	0	0.00000	0	0.00000
Monoglobus	2039302	G	22	0.00032	0	0.00000	19	0.00027
Christensenella	990721	G	10	0.00015	0	0.00000	0	0.00000
Phascolarctobacterium	33024	G	2386	0.03474	0	0.00000	1573	0.02276
Dialister	39948	G	45	0.00066	321	0.01369	135	0.00195
