name	taxonomy_id	taxonomy_lvl	ERR011349_reads.bracken_num	ERR011349_reads.bracken_frac	ERR011347_reads.bracken_num	ERR011347_reads.bracken_frac	ERR011348_reads.bracken_num	ERR011348_reads.bracken_frac
Butyrivibrio	830	G	618722	0.34715	2840	0.00103	2932	0.00070
Anaerobutyricum	2569097	G	67331	0.03778	55092	0.01990	83811	0.02002
Anaerostipes	207244	G	61415	0.03446	111967	0.04045	131798	0.03147
Blautia	572511	G	40641	0.02280	182378	0.06589	376458	0.08990
Dorea	189330	G	33581	0.01884	63299	0.02287	146173	0.03491
Roseburia	841	G	42813	0.02402	50437	0.01822	56148	0.01341
Mediterraneibacter	2316020	G	42320	0.02374	215488	0.07785	286994	0.06854
Coprococcus	33042	G	20889	0.01172	77831	0.02812	140835	0.03363
Wujia	2944152	G	15931	0.00894	894	0.00032	785	0.00019
Agathobacter	1766253	G	24450	0.01372	187683	0.06780	126268	0.03015
Lachnospira	28050	G	14951	0.00839	8417	0.00304	5755	0.00137
Lachnoclostridium	1506553	G	2975	0.00167	6799	0.00246	10615	0.00253
Enterocloster	2719313	G	1963	0.00110	4795	0.00173	7927	0.00189
Simiaoa	2944193	G	1707	0.00096	11353	0.00410	22837	0.00545
Wansuia	2944198	G	969	0.00054	744	0.00027	1943	0.00046
Anaerocolumna	1843210	G	520	0.00029	700	0.00025	1042	0.00025
Claveliimonas	3076670	G	337	0.00019	1152	0.00042	2151	0.00051
Marvinbryantia	248744	G	310	0.00017	1933	0.00070	3461	0.00083
Lacrimispora	2719231	G	259	0.00015	1212	0.00044	2230	0.00053
Sellimonas	1769710	G	233	0.00013	722	0.00026	961	0.00023
Lachnoanaerobaculum	1164882	G	220	0.00012	439	0.00016	561	0.00013
Anaeromicropila	3024823	G	216	0.00012	141	0.00005	177	0.00004
Novisyntrophococcus	2888809	G	179	0.00010	558	0.00020	953	0.00023
Qiania	2944195	G	175	0.00010	1046	0.00038	1788	0.00043
Tyzzerella	1506577	G	159	0.00009	41	0.00001	56	0.00001
Pseudobutyrivibrio	46205	G	139	0.00008	246	0.00009	368	0.00009
