Contig	ERR011348_assembly.fa/ERR011348_corrected_1.fastq.gz Mean	ERR011348_assembly.fa/ERR011348_corrected_1.fastq.gz RPKM	ERR011348_assembly.fa/ERR011348_corrected_1.fastq.gz Covered Fraction
k79_0	6.539823	7.24366	1
k79_48218	6.9035087	7.9758244	1
k79_84380	4.681818	5.3333783	1
k79_36164	4.4270463	5.8159804	1
k79_12055	4.10241	5.8246684	1
k79_48219	5.4117646	6.618317	1
k79_1	12.2458105	11.276285	0.9513678
k79_84381	3.4494948	4.321875	1
k79_60272	6.496802	8.099152	1
k79_24110	6.8065066	8.196254	0.993188
k79_60273	3.5210085	4.845641	1
k79_2	4.2022057	5.4648166	1
k79_48220	5.1402807	6.6433015	1
k79_60274	4.299465	5.355534	1
k79_3	4.079137	5.204196	1
k79_36165	6.865358	8.946232	1
k79_12056	4.756637	6.054801	1
k79_48221	1.9213483	3.3562346	1
k79_60275	8.207921	7.589971	1
k79_84382	7.2316294	8.657117	1
k79_36166	5.1459074	6.9791765	1
k79_4	11.027624	14.883458	0.9980469
k79_24111	6.03607	7.5673585	1
k79_5	3.8404255	5.342121	1
k79_60276	4.788018	6.009183	0.97602737
k79_24112	4.81982	4.61	1
k79_48222	3.4570928	4.4501524	1
k79_24113	2.8688047	4.0676475	1
k79_60277	6.1377954	7.466729	1
k79_24114	3.1160715	4.9751053	1
k79_48223	5.8190126	7.1927905	1
k79_6	8.514205	10.214605	0.99648714
k79_36167	5.7373843	7.5133543	1
k79_48224	3.9665427	5.5039444	1
k79_36168	5.829114	6.1853333	1
k79_60278	8.425974	10.35371	1
k79_7	9.5549345	12.843582	1
k79_48225	5.0989847	5.8980885	1
k79_8	2.8556702	4.871296	1
k79_9	4.894737	6.2789826	1
k79_72326	7.4363303	9.7394	1
k79_36169	8.570495	11.332446	1
k79_10	4	5.453881	1
k79_60279	5.270235	6.5677404	1
k79_72327	3.6513762	5.419865	1
k79_36170	3.0631578	3.683296	1
k79_12057	6.4067445	8.629043	1
k79_60280	4.826446	5.549862	1
k79_36171	16.434343	14.496506	1
k79_11	3.5530303	4.7323895	1
k79_48226	5.0023417	6.446269	1
k79_12	3.6043956	4.576525	1
k79_12058	4.98941	6.305355	1
k79_48228	5.247619	5.898089	1
