contigs	predictions
k79_12180	2;1239;186801;3085636;186803;2316020;33039;657313
k79_0	2;1239;186801;186802;216572;1263;1160721
k79_48720	2;1239;186801;3085636;186803;2569097;39488
k79_85260	
k79_73080	
k79_24360	2;976;200643;171549;2005525;375288;823
k79_1	2;1239;91061;1385;186817;1386;1396;526967
k79_85261	2;976;200643;171549;815;816
k79_2	2;1239;186801;3085636;186803;2316020;46228;471875
k79_73081	2;1239;186801;186802;216572;1263;1160721
k79_48721	2;1239;186801;3085636;186803;1766253;39491
k79_24361	2;1239;909932;1843488;909930;33024;33025
k79_3	2;976;200643;171549;2005525;375288;823
k79_36540	2;976;200643;171549;815;816;674529
k79_85262	
k79_48722	2;1239;186801;3085636;186803;33042;410072
k79_24362	2;1239;186801;3085636;186803;2316020;33039;657313
k79_12181	2;1239;186801;3085636;186803;572511;418240;1121115
k79_85263	
k79_24363	2;1239;186801;3085636;186803;2316020;33039;657313
k79_4	2;1239;186801;3085636;186803;841;166486;657315
k79_12182	
k79_48723	2;1239;186801;3085636;186803;2316020;46228;471875
k79_73082	
k79_12183	2;1239;186801;186802;216572;216851
k79_48724	
k79_73083	
k79_36541	2;1783272
k79_5	
k79_36542	
k79_48725	2;1239;186801;186802;216572;216851;853
k79_60900	
k79_73084	2;1239;186801;3085636;186803;572511;418240;1121115
k79_6	2;1239;186801;3085636;186803;33042;410072
k79_73085	2;1239;186801;3085636;186803;572511;418240;1121115
k79_48726	
k79_73086	2;1239;186801;186802;186806;1730;39496
k79_60901	2;1239;186801;3085636;186803;1766253;39491
k79_60902	2;976;200643;171549;1853231;283168;28118
k79_7	
k79_73087	
k79_12184	2;1239;186801;3085636;186803;1766253;39491;657318
k79_48727	2;1239;186801;3085636;186803;572511;418240;1121115
k79_60903	
k79_73088	2;1239;186801;3085636;186803;2316020;46228;471875
k79_36543	2;1239;909932;1843488;909930;33024;33025
k79_48728	
k79_8	
k79_60904	2;976;200643;171549;2005525;375288;823
k79_73089	2;1239;526524;526525;2810280;2678885;1982626
