task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
6	77/6a377a	790763	CONTIG_TAXONOMY:KRONA_K2_UPDATE_TAXONOMY	COMPLETED	0	2026-05-25 15:00:41.425	1m 40s	1m 38s	96.4%	2 GB	2 GB	1.1 GB	1.2 GB
1	55/394e35	795807	READ_TAXONOMY:KRONA_K2_UPDATE_TAXONOMY	COMPLETED	0	2026-05-25 15:02:21.257	1.5s	5ms	200.0%	0	0	76.7 KB	208 B
3	86/e645bf	789226	QC_SHORT:FASTQC_IN (ERR011348)	COMPLETED	0	2026-05-25 15:00:23.361	2m	1m 58s	100.5%	577.2 MB	3.9 GB	1.6 GB	5.5 MB
8	7c/f3987e	789232	QC_SHORT:FASTQC_IN (ERR011349)	COMPLETED	0	2026-05-25 15:00:23.393	2m 26s	2m 24s	101.1%	605.4 MB	4 GB	2.1 GB	4.6 MB
5	44/0d01b2	797130	QC_SHORT:FASTP (ERR011348)	COMPLETED	0	2026-05-25 15:02:49.422	33.9s	32.5s	594.4%	4.2 GB	5 GB	1.6 GB	1.2 GB
4	77/39c090	798433	QC_SHORT:FASTP (ERR011347)	COMPLETED	0	2026-05-25 15:03:23.311	37.7s	36.1s	569.7%	4.3 GB	4.9 GB	2 GB	1.1 GB
7	e1/f46a04	800121	QC_SHORT:FASTP (ERR011349)	COMPLETED	0	2026-05-25 15:04:01.048	35.9s	34.5s	566.0%	4.3 GB	4.9 GB	2.2 GB	858.3 MB
2	25/65314a	796019	QC_SHORT:FASTQC_IN (ERR011347)	COMPLETED	0	2026-05-25 15:02:23.429	2m 41s	2m 40s	89.7%	561.9 MB	3.9 GB	2 GB	4.6 MB
12	9f/5f3c14	834624	QC_SHORT:MULTIQC_IN	COMPLETED	0	2026-05-25 15:09:03.340	16.2s	9.9s	33.9%	198 MB	6.1 GB	42.6 MB	5.9 MB
11	18/e959e6	806659	QC_SHORT:BOWTIE2_FILTER_PHIX (ERR011349_phiX174)	COMPLETED	0	2026-05-25 15:05:04.438	4m 54s	4m 50s	427.9%	152.5 MB	1.2 GB	4.3 GB	5.4 GB
13	b4/998646	841069	QC_SHORT:FASTQC_OUT (ERR011349)	COMPLETED	0	2026-05-25 15:09:58.124	1m 20s	1m 17s	60.2%	576.6 MB	3.8 GB	521.3 MB	4.8 MB
10	55/21c990	801440	QC_SHORT:BOWTIE2_FILTER_PHIX (ERR011347_phiX174)	COMPLETED	0	2026-05-25 15:04:36.973	7m 23s	7m 21s	469.2%	150.4 MB	1.2 GB	6.8 GB	8.7 GB
9	4b/160a3d	801433	QC_SHORT:BOWTIE2_FILTER_PHIX (ERR011348_phiX174)	COMPLETED	0	2026-05-25 15:04:36.961	9m 5s	9m 2s	553.3%	152.5 MB	1.2 GB	9.6 GB	12.3 GB
15	33/be12d4	860453	QC_SHORT:FASTQC_OUT (ERR011347)	COMPLETED	0	2026-05-25 15:13:41.605	1m 1s	59.4s	106.7%	541.4 MB	3.8 GB	808 MB	4.7 MB
18	a4/25b1c5	863436	QC_SHORT:FASTQC_OUT (ERR011348)	COMPLETED	0	2026-05-25 15:14:42.457	1m 23s	1m 21s	103.9%	567.5 MB	3.8 GB	1.1 GB	4.6 MB
21	17/19b219	867716	ASSEMBLY_PREP_SHORT:RENAME_SHORT_READS_R1 (ERR011347)	COMPLETED	0	2026-05-25 15:16:05.449	154ms	8ms	126.3%	0	0	76.7 KB	208 B
22	1c/705f17	867724	ASSEMBLY_PREP_SHORT:RENAME_SHORT_READS_R1 (ERR011348)	COMPLETED	0	2026-05-25 15:16:05.466	144ms	9ms	102.1%	0	0	76.7 KB	208 B
20	62/83e060	867720	ASSEMBLY_PREP_SHORT:RENAME_SHORT_READS_R2 (ERR011349)	COMPLETED	0	2026-05-25 15:16:05.460	169ms	11ms	32.7%	0	0	76.7 KB	207 B
19	f0/d7cb10	867955	ASSEMBLY_PREP_SHORT:RENAME_SHORT_READS_R1 (ERR011349)	COMPLETED	0	2026-05-25 15:16:05.609	144ms	10ms	35.6%	0	0	76.7 KB	207 B
24	5a/8c9169	867970	ASSEMBLY_PREP_SHORT:RENAME_SHORT_READS_R2 (ERR011348)	COMPLETED	0	2026-05-25 15:16:05.621	137ms	12ms	34.0%	0	0	76.7 KB	207 B
23	08/86200f	868002	ASSEMBLY_PREP_SHORT:RENAME_SHORT_READS_R2 (ERR011347)	COMPLETED	0	2026-05-25 15:16:05.640	165ms	6ms	48.5%	0	0	76.7 KB	207 B
25	92/743101	868193	QC_SHORT:MULTIQC_OUT	COMPLETED	0	2026-05-25 15:16:05.761	5.6s	3.7s	107.1%	210.5 MB	6.1 GB	42.7 MB	5.8 MB
14	f8/8796cc	851833	READ_TAXONOMY:KRAKEN2 (ERR011349-null)	COMPLETED	0	2026-05-25 15:11:59.689	6m 50s	6m 48s	38.2%	77.8 GB	78.6 GB	1.8 GB	1.5 GB
30	ba/7254f4	875758	READ_TAXONOMY:BRACKEN (ERR011349-null)	COMPLETED	0	2026-05-25 15:19:12.764	1.9s	360ms	79.9%	24.1 MB	46.7 MB	2.7 MB	74.3 KB
16	98/e743a2	873815	READ_TAXONOMY:KRAKEN2 (ERR011347-null)	COMPLETED	0	2026-05-25 15:18:49.732	1m 14s	1m 13s	267.1%	78 GB	78.8 GB	2.8 GB	2.4 GB
32	12/1a776d	877568	READ_TAXONOMY:BRACKEN (ERR011347-null)	COMPLETED	0	2026-05-25 15:20:05.200	2s	411ms	78.2%	25 MB	47.7 MB	2.8 MB	88.8 KB
17	1d/517e6d	877548	READ_TAXONOMY:KRAKEN2 (ERR011348-null)	COMPLETED	0	2026-05-25 15:20:04.193	1m 38s	1m 36s	280.2%	78.3 GB	79.2 GB	3.9 GB	3.5 GB
33	51/48483c	892861	READ_TAXONOMY:BRACKEN (ERR011348-null)	COMPLETED	0	2026-05-25 15:21:42.986	2s	384ms	98.7%	25.1 MB	47.7 MB	3 MB	141.2 KB
35	45/d38714	894154	READ_TAXONOMY:COMBINE_BRACKEN_OUTPUTS (reads)	COMPLETED	0	2026-05-25 15:21:45.961	1.7s	89ms	78.7%	18.7 MB	35.2 MB	1.3 MB	69 KB
