#Annotated with Bakta v1.11.4, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	358	1032	-	DCGIOH_00002	26.8	10.3		
contig_2	206	490	-	DCGIOH_00003	10.5	9.0		
contig_2	509	958	-	DCGIOH_00004	16.8	9.5		
contig_5	4255	5049	-	DCGIOH_00009	29.6	5.2	PF02687.27|FtsX, PF12704.14|MacB_PCD	PFAM:PF02687.27, PFAM:PF12704.14
contig_7	405	920	-	DCGIOH_00013	19.4	9.5		
contig_8	24	239	+	DCGIOH_00014	8.6	10.2		SO:0001217, UniRef:UniRef50_R5MGT2, UniRef:UniRef90_R5MGT2
contig_9	244	417	+	DCGIOH_00015	6.1	9.8		
contig_10	1415	3610	+	DCGIOH_00018	83.2	9.1		
contig_10	3729	4079	-	DCGIOH_00019	13.5	6.2	PF02929.23|Bgal_small_N	PFAM:PF02929.23
contig_11	106	579	+	DCGIOH_00020	17.4	7.0	PF00753.33|Lactamase_B	PFAM:PF00753.33
contig_12	38	703	+	DCGIOH_00021	25.5	9.2	PF00165.29|HTH_AraC, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF12833.13
contig_13	2419	2685	-	DCGIOH_00025	9.4	6.8		
contig_15	733	1161	+	DCGIOH_00027	16.3	9.9		
contig_15	4642	4755	-	DCGIOH_00030	4.3	10.0		SO:0001217, UniRef:UniRef50_R5N228, UniRef:UniRef90_R5N228
contig_15	4755	5495	-	DCGIOH_00031	27.5	5.6	PF00133.28|tRNA-synt_1, PF08264.19|Anticodon_1	PFAM:PF00133.28, PFAM:PF08264.19
contig_16	46	666	+	DCGIOH_00032	22.8	4.8	PF07992.20|Pyr_redox_2	PFAM:PF07992.20
contig_17	92	715	+	DCGIOH_00035	23.0	5.4	PF02518.31|HATPase_c	PFAM:PF02518.31
contig_17	720	1208	+	DCGIOH_00036	18.0	9.5		SO:0001217, UniRef:UniRef50_A0A3E5GK07, UniRef:UniRef90_UPI0025C3118E
contig_21	20	301	+	DCGIOH_00043	10.9	4.2	PF01938.26|TRAM, PF18693.7|TRAM_2	PFAM:PF01938.26, PFAM:PF18693.7
contig_21	1879	2187	-	DCGIOH_00046	11.4	8.7		
contig_24	1365	1799	-	DCGIOH_00055	16.5	10.3		
contig_25	15	545	+	DCGIOH_00056	19.3	6.1	PF00670.27|AdoHcyase_NAD, PF02826.25|2-Hacid_dh_C	PFAM:PF00670.27, PFAM:PF02826.25
contig_32	180	470	+	DCGIOH_00070	11.0	4.5		
contig_33	207	2096	-	DCGIOH_00071	70.2	5.1	PF00521.26|DNA_topoisoIV, PF03989.18|DNA_gyraseA_C	PFAM:PF00521.26, PFAM:PF03989.18
contig_39	140	490	+	DCGIOH_00082	13.2	6.9	PF14535.12|AMP-binding_C_2	PFAM:PF14535.12
contig_40	11	451	+	DCGIOH_00084	16.2	6.8		
contig_41	1192	1620	-	DCGIOH_00097	15.1	10.0		
contig_42	92	724	+	DCGIOH_00098	24.7	5.3		
contig_42	3425	4753	-	DCGIOH_00103	47.7	4.7		SO:0001217, UniRef:UniRef50_R5MYT8, UniRef:UniRef90_R5MYT8
contig_47	257	709	+	DCGIOH_00116	16.8	8.6	PF00037.32|Fer4, PF12837.12|Fer4_6	PFAM:PF00037.32, PFAM:PF12837.12
contig_49	311	835	+	DCGIOH_00121	20.3	9.7		
contig_50	45	386	+	DCGIOH_00125	12.4	9.7	PF02075.23|RuvC	PFAM:PF02075.23
contig_51	198	749	+	DCGIOH_00132	19.9	5.4	PF02272.25|DHHA1	PFAM:PF02272.25
contig_52	27	965	+	DCGIOH_00138	33.6	5.9	PF01979.26|Amidohydro_1	PFAM:PF01979.26
contig_54	95	277	+	DCGIOH_00141	7.0	5.1		
contig_54	1656	1766	-	DCGIOH_00143	3.8	8.2		SO:0001217, UniParc:UPI000336C4DB, UniRef:UniRef100_R5MQG1, UniRef:UniRef50_R5MQG1, UniRef:UniRef90_R5MQG1
contig_56	90	455	+	DCGIOH_00152	13.9	5.4		
contig_56	744	950	-	DCGIOH_00153	7.7	8.8		SO:0001217, UniRef:UniRef50_R5MZ35, UniRef:UniRef90_R5MZ35
contig_57	353	859	-	DCGIOH_00156	17.4	4.5		SO:0001217, UniParc:UPI001AC6CD66, UniRef:UniRef100_A0A8I1J6R9, UniRef:UniRef50_R5MHS1, UniRef:UniRef90_R5MHS1
contig_57	1931	2410	-	DCGIOH_00159	17.1	5.0		SO:0001217, UniParc:UPI0003389551, UniRef:UniRef100_R5MMW2, UniRef:UniRef50_R5MMW2, UniRef:UniRef90_R5MMW2
contig_57	2455	5376	-	DCGIOH_00160	105.5	4.7		
contig_60	2651	2968	-	DCGIOH_00166	11.1	9.6		
contig_63	71	904	+	DCGIOH_00173	29.8	5.6		
contig_65	1086	1460	-	DCGIOH_00175	14.5	5.2		SO:0001217, UniRef:UniRef50_A0A9E6XPA2, UniRef:UniRef90_UPI0018AA531C
contig_65	1480	1824	-	DCGIOH_00176	13.0	8.0		
contig_65	3286	3474	-	DCGIOH_00178	7.3	6.6		SO:0001217, UniRef:UniRef50_A0AA50FZL8
contig_68	42	518	+	DCGIOH_00181	18.6	9.7	PF07508.19|Recombinase, PF13408.12|Zn_ribbon_recom	PFAM:PF07508.19, PFAM:PF13408.12
contig_71	101	376	+	DCGIOH_00187	10.6	9.8		
contig_71	382	549	-	DCGIOH_00188	6.5	9.5		
contig_72	1365	1619	-	DCGIOH_00193	9.8	9.0		
contig_73	65	577	+	DCGIOH_00195	19.4	9.3		
contig_75	573	749	-	DCGIOH_00201	6.5	9.2	PF12728.13|HTH_17	PFAM:PF12728.13
contig_75	1209	1580	-	DCGIOH_00202	13.9	8.7	PF00216.26|Bac_DNA_binding	PFAM:PF00216.26
contig_75	2857	3849	-	DCGIOH_00204	38.4	7.6		
contig_75	4270	5970	-	DCGIOH_00205	65.0	6.5		SO:0001217, UniRef:UniRef50_C9L7K9
contig_75	6374	6670	-	DCGIOH_00206	11.2	6.4		
contig_75	6773	7111	-	DCGIOH_00207	12.8	4.6		
contig_75	7984	8286	-	DCGIOH_00209	11.2	9.7		
contig_75	8255	9490	-	DCGIOH_00210	48.1	8.6		SO:0001217, UniRef:UniRef50_R5KPC5
contig_76	1626	2438	-	DCGIOH_00211	30.3	8.6		
contig_77	155	553	+	DCGIOH_00212	14.5	10.3		
contig_78	1258	1665	+	DCGIOH_00217	15.3	5.2		SO:0001217, UniRef:UniRef50_R5N416, UniRef:UniRef90_R5N416
contig_83	141	425	+	DCGIOH_00231	10.3	9.8		
contig_83	1475	1771	-	DCGIOH_00232	10.8	7.9		
contig_86	293	607	+	DCGIOH_00237	12.1	9.5		
contig_86	3965	4513	-	DCGIOH_00241	20.3	8.2	PF09157.17|TruB-C_2	PFAM:PF09157.17
contig_91	218	454	+	DCGIOH_00249	8.6	6.6		
contig_92	1448	1954	-	DCGIOH_00253	19.4	9.5		
contig_93	42	254	+	DCGIOH_00254	8.2	5.2	PF17801.7|Melibiase_C	PFAM:PF17801.7
contig_96	3	233	+	DCGIOH_00266	8.4	9.3		
contig_99	4407	4673	+	DCGIOH_00278	10.0	9.6		SO:0001217, UniRef:UniRef50_A0A9D9ZGU1, UniRef:UniRef90_A0A9D9ZGU1
contig_99	5482	5880	-	DCGIOH_00280	15.4	5.4	PF03372.29|Exo_endo_phos	PFAM:PF03372.29
contig_101	1184	1495	-	DCGIOH_00287	11.8	9.4		
contig_103	967	1062	-	DCGIOH_00289	3.4	4.3		SO:0001217, UniParc:UPI000340E4EA, UniRef:UniRef100_R5MHN4, UniRef:UniRef50_R5MHN4, UniRef:UniRef90_R5MHN4
contig_105	2057	2449	-	DCGIOH_00294	14.1	5.1	PF09186.17|DUF1949	PFAM:PF09186.17
contig_106	133	318	+	DCGIOH_00295	6.5	9.2		
