Genome	Taxon	Complete	Translation table	# Sequences	Size	GC	N ratio	N50	Coding ratio	tRNA	tmRNA	rRNA	ncRNA	ncRNA region	CRISPR	CDS	CDS hypothetical	CDS pseudogene	sORF	GAP	oriC	oriV	oriT
ERR011348_MEGAHIT_TaxVamb_dRep.21		n	11	646	1104734	39.1	0.0	1713	57.1	9	0	0	0	11	1	891	244	10	0	0	0	0	0
ERR011348_MEGAHIT_TaxVamb_dRep.16		n	11	734	2012712	54.2	0.0	3294	73.6	43	0	3	2	2	0	2133	981	17	1	0	0	0	0
ERR011348_MEGAHIT_TaxVamb_dRep.10		n	11	190	869213	44.9	0.0	6924	78.8	20	0	0	2	3	1	725	105	7	0	0	0	0	0
ERR011348_MEGAHIT_MetaBinner_dRep.6_sub		n	11	581	1739025	45.1	0.0	3714	71.5	32	0	1	5	18	0	1627	441	10	0	0	0	0	0
ERR011349_MEGAHIT_TaxVamb_dRep.1		n	11	71	1252065	28.5	0.0	26590	89.0	29	1	1	4	3	0	1253	218	3	0	0	0	0	0
ERR011348_MEGAHIT_TaxVamb_dRep.6_sub		n	11	835	2734234	42.6	0.0	4322	74.6	25	1	0	13	25	0	2257	274	8	0	0	0	0	0
ERR011348_MEGAHIT_TaxVamb_dRep.44		n	11	738	1785067	43.9	0.0	2698	69.0	33	1	0	2	28	1	1618	384	11	0	0	0	0	0
ERR011347_MEGAHIT_TaxVamb_dRep.2		n	11	561	1416416	30.7	0.0	2866	64.4	17	0	0	1	2	0	1386	1232	0	0	0	0	0	0
ERR011347_MEGAHIT_TaxVamb_dRep.43		n	11	457	1118712	26.3	0.0	2841	66.2	2	0	0	1	2	0	1061	685	1	1	0	0	0	0
ERR011348_MEGAHIT_TaxVamb_dRep.20		n	11	484	968442	32.9	0.0	2140	66.5	24	0	0	1	1	0	883	771	3	0	0	0	0	0
ERR011348_MEGAHIT_TaxVamb_dRep.15_sub		n	11	869	2049779	43.4	0.0	2711	68.3	26	1	0	9	16	0	1776	347	16	0	0	0	0	0
ERR011349_MEGAHIT_TaxVamb_dRep.2		n	11	384	2293276	37.1	0.0	8783	83.8	20	0	1	11	12	0	2220	347	14	0	0	0	0	0
ERR011348_MEGAHIT_MetaBinner_dRep.1		n	11	128	2281062	41.4	0.0	28278	85.2	35	0	1	7	15	1	2119	237	9	1	0	0	0	0
ERR011348_MEGAHIT_TaxVamb_dRep.5		n	11	503	4243097	46.7	0.0	13773	85.3	50	2	1	7	9	0	3579	525	10	1	0	0	0	0
