genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
ERR011348_MEGAHIT_TaxVamb_Refined.15_sub.fa,1_0,0.010000000000000009,average,fastANI,1
ERR011348_MEGAHIT_TaxVamb_Refined.21.fa,2_0,0.010000000000000009,average,fastANI,2
ERR011348_MEGAHIT_TaxVamb_Refined.6_sub.fa,3_0,0.010000000000000009,average,fastANI,3
ERR011349_MEGAHIT_TaxVamb_Refined.2.fa,4_0,0.010000000000000009,average,fastANI,4
ERR011348_MEGAHIT_TaxVamb_Refined.10.fa,5_0,0.010000000000000009,average,fastANI,5
ERR011348_MEGAHIT_TaxVamb_Refined.5.fa,6_0,0.010000000000000009,average,fastANI,6
ERR011347_MEGAHIT_TaxVamb_Refined.1.fa,7_1,0.010000000000000009,average,fastANI,7
ERR011348_MEGAHIT_MetaBinner_Refined.1.fa,7_1,0.010000000000000009,average,fastANI,7
ERR011348_MEGAHIT_MetaBinner_Refined.6_sub.fa,8_0,0.010000000000000009,average,fastANI,8
ERR011348_MEGAHIT_TaxVamb_Refined.44.fa,9_0,0.010000000000000009,average,fastANI,9
ERR011347_MEGAHIT_TaxVamb_Refined.2.fa,10_1,0.010000000000000009,average,fastANI,10
ERR011348_MEGAHIT_TaxVamb_Refined.20.fa,10_2,0.010000000000000009,average,fastANI,10
ERR011347_MEGAHIT_TaxVamb_Refined.43.fa,11_0,0.010000000000000009,average,fastANI,11
ERR011348_MEGAHIT_TaxVamb_Refined.16.fa,12_0,0.010000000000000009,average,fastANI,12
ERR011349_MEGAHIT_TaxVamb_Refined.1.fa,13_0,0.010000000000000009,average,fastANI,13
