# Annotated with Bakta
# Software: v1.11.4
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	rRNA	315	431	+	NPHBLG_00001	rrf	5S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01985, RFAM:RF00001, SO:0000652
contig_1	cds	609	1481	+	NPHBLG_00002		hypothetical protein	SO:0001217, UniParc:UPI0003407460, UniRef:UniRef100_R6QEM8, UniRef:UniRef50_R6QEM8, UniRef:UniRef90_R6QEM8
contig_1	cds	1516	1908	+	NPHBLG_00003		Integrase	SO:0001217, UniParc:UPI00033C1EE5, UniRef:UniRef100_R6Q6N8, UniRef:UniRef50_A0A416U1K2, UniRef:UniRef90_R6Q6N8
contig_1	cds	2249	2923	+	NPHBLG_00004		Patatin	SO:0001217, UniParc:UPI0003410637, UniRef:UniRef100_R6QKN5, UniRef:UniRef50_R6QKN5, UniRef:UniRef90_R6QKN5
contig_1	cds	3035	3607	+	NPHBLG_00005		Flavin reductase domain protein FMN-binding protein	SO:0001217, UniParc:UPI00033FEDCA, UniRef:UniRef100_R6RAG7, UniRef:UniRef50_R6SRS6, UniRef:UniRef90_R6RAG7
contig_1	cds	3822	3986	+	NPHBLG_00006	rpmG	50S ribosomal protein L33	GO:0003735, GO:0005840, GO:0006412, KEGG:K02913, SO:0001217, UniParc:UPI00033BCD8C, UniRef:UniRef100_R7MC98, UniRef:UniRef50_A0A916CUV6, UniRef:UniRef90_R7MC98
contig_1	cds	4009	4362	+	NPHBLG_00007	secE	preprotein translocase subunit SecE	GO:0005886, GO:0009306, GO:0015450, GO:0043952, SO:0001217, UniParc:UPI00033F9351, UniRef:UniRef100_R6Q402, UniRef:UniRef50_R6Q402, UniRef:UniRef90_R6Q402
contig_1	cds	4379	4909	+	NPHBLG_00008	nusG	transcription termination/antitermination protein NusG	GO:0032784, KEGG:K02601, SO:0001217, UniParc:UPI00033961A9, UniRef:UniRef100_R6QEN3, UniRef:UniRef50_A0A7X9AME9, UniRef:UniRef90_R6QEN3
contig_1	cds	5160	5588	+	NPHBLG_00009	rplK	50S ribosomal protein L11	GO:0003735, GO:0005840, GO:0006412, KEGG:K02867, SO:0001217, UniParc:UPI000338A26D, UniRef:UniRef100_R6Q6P2, UniRef:UniRef50_P66052, UniRef:UniRef90_R6Q6P2
contig_1	cds	5641	6324	+	NPHBLG_00010	rplA	50S ribosomal protein L1	GO:0003723, GO:0003735, GO:0006412, GO:0015934, KEGG:K02863, SO:0001217, UniParc:UPI0003402002, UniRef:UniRef100_R6QKP2, UniRef:UniRef50_P29393, UniRef:UniRef90_R7MAJ1
contig_1	cds	6462	6962	+	NPHBLG_00011	rplJ	50S ribosomal protein L10	GO:0003735, GO:0006412, GO:0015934, KEGG:K02864, SO:0001217, UniParc:UPI000335E4AD, UniRef:UniRef100_R6RAH3, UniRef:UniRef50_R7LRI0, UniRef:UniRef90_R6RAH3
contig_2	cds	219	944	-	NPHBLG_00012		(pseudo) Site-specific integrase	SO:0001217, UniRef:UniRef50_A0A1Q6LAG7, UniRef:UniRef90_A0A9E1ASY8
contig_2	cds	938	1417	-	NPHBLG_00013		DNA integration/recombination/inversion protein	SO:0001217, UniRef:UniRef50_K1SE24
contig_2	cds	1615	2679	+	NPHBLG_00014		hypothetical protein	
contig_2	cds	2657	3670	+	NPHBLG_00015		hypothetical protein	
contig_2	cds	3965	5917	+	NPHBLG_00016		hypothetical protein	
contig_2	cds	5923	6459	-	NPHBLG_00017		hypothetical protein	
contig_2	cds	6437	6865	-	NPHBLG_00018		hypothetical protein	
contig_2	cds	7150	7353	+	NPHBLG_00019		Helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1Q6JUB0
contig_2	cds	7370	7921	+	NPHBLG_00020		hypothetical protein	
contig_2	cds	8216	8731	+	NPHBLG_00021		hypothetical protein	
contig_2	cds	9016	9240	+	NPHBLG_00022		Phosphoribosylglycinamide formyltransferase	SO:0001217, UniRef:UniRef50_B8I8S8
contig_2	cds	9253	11640	+	NPHBLG_00023		site-specific DNA-methyltransferase (adenine-specific)	SO:0001217, UniRef:UniRef50_A0A927SRF2
contig_2	cds	11642	12826	+	NPHBLG_00024		hypothetical protein	PFAM:PF01420.25
contig_2	cds	12819	15965	+	NPHBLG_00025		Type I restriction enzyme endonuclease subunit	SO:0001217, UniRef:UniRef50_A0A927XWZ6
contig_2	cds	15971	16660	+	NPHBLG_00026		M48 family metallopeptidase	SO:0001217, UniRef:UniRef50_A0A927XXB6
contig_2	cds	16694	18517	+	NPHBLG_00027		DUF262 domain-containing protein	SO:0001217, UniRef:UniRef50_C9LPZ7
contig_2	cds	18731	20008	+	NPHBLG_00028		ATPase	SO:0001217, UniRef:UniRef50_A0A1Q6M554
contig_2	cds	20026	20376	+	NPHBLG_00029		hypothetical protein	
contig_2	cds	20445	20741	-	NPHBLG_00030		DUF3848 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3D1PNK7
contig_2	cds	21169	21687	+	NPHBLG_00031		Nitroreductase	SO:0001217, UniParc:UPI0003406181, UniRef:UniRef100_R6Q795, UniRef:UniRef50_G5IA48, UniRef:UniRef90_R6Q795
contig_2	cds	21751	22086	-	NPHBLG_00032		inorganic diphosphatase	SO:0001217, UniParc:UPI000340E570, UniRef:UniRef100_R6QF75, UniRef:UniRef50_B0N586, UniRef:UniRef90_R6QF75
contig_2	cds	22166	22384	+	NPHBLG_00033		hypothetical protein	SO:0001217, UniParc:UPI0003387DB0, UniRef:UniRef100_R6Q4K7, UniRef:UniRef50_R6Q4K7, UniRef:UniRef90_R6Q4K7
contig_2	cds	22543	22959	+	NPHBLG_00034		SHSP domain-containing protein	SO:0001217, UniParc:UPI00033D0C58, UniRef:UniRef100_R6RAZ0, UniRef:UniRef50_K0XEJ8, UniRef:UniRef90_R6RAZ0
contig_2	cds	23038	23508	+	NPHBLG_00035		NUDIX hydrolase	SO:0001217, UniParc:UPI00033D7D72, UniRef:UniRef100_R6QL87, UniRef:UniRef50_A0A3D1RKC9, UniRef:UniRef90_R7M995
contig_2	cds	23813	24460	+	NPHBLG_00036	chlI	Mg chelatase subunit ChlI	SO:0001217, UniParc:UPI00033ED692, UniRef:UniRef100_R6Q791, UniRef:UniRef50_R6Q791, UniRef:UniRef90_R6Q791
contig_2	cds	24500	25351	+	NPHBLG_00037	chlI	Mg chelatase subunit ChlI	SO:0001217, UniParc:UPI000339115A, UniRef:UniRef100_R6QF71, UniRef:UniRef50_A0A1G2ZS07, UniRef:UniRef90_R7M772
contig_2	cds	25363	26196	+	NPHBLG_00038	dprA	DNA-processing protein DprA	GO:0009294, SO:0001217, UniParc:UPI00033D7886, UniRef:UniRef100_R6Q4K2, UniRef:UniRef50_A0A9D1M1L6, UniRef:UniRef90_R6Q4K2
contig_2	cds	26201	26557	+	NPHBLG_00039	yraN	YraN family protein	GO:0003676, GO:0004518, KEGG:K07460, SO:0001217, UniParc:UPI000337251C, UniRef:UniRef100_R6RAY5, UniRef:UniRef50_R6RAY5, UniRef:UniRef90_R6RAY5
contig_2	cds	26777	29992	+	NPHBLG_00040	cas9	type II CRISPR RNA-guided endonuclease Cas9	EC:3.1.-.-, GO:0004520, GO:0043571, KEGG:K09952, SO:0001217, UniParc:UPI00033A2D03, UniRef:UniRef100_R6QL84, UniRef:UniRef50_R6QL84, UniRef:UniRef90_R6QL84
contig_2	cds	29994	30896	+	NPHBLG_00041	cas1	type II CRISPR-associated endonuclease Cas1	GO:0003676, GO:0004520, GO:0043571, GO:0046872, GO:0051607, SO:0001217, UniParc:UPI000336CE9A, UniRef:UniRef100_R6Q786, UniRef:UniRef50_B8I084, UniRef:UniRef90_R6Q786
contig_2	cds	30904	31212	+	NPHBLG_00042	cas2	CRISPR-associated endonuclease Cas2	GO:0004521, GO:0043571, SO:0001217, UniParc:UPI00033E36EE, UniRef:UniRef100_R6QF66, UniRef:UniRef50_B9M9X6, UniRef:UniRef90_R6QF66
contig_3	cds	16	1194	+	NPHBLG_00043		hypothetical protein	
contig_3	cds	1369	2115	+	NPHBLG_00044	sufC	Fe-S cluster assembly ATPase SufC	SO:0001217, UniRef:UniRef50_A0A975EZD7
contig_3	cds	2117	3517	+	NPHBLG_00045	sufB	Fe-S cluster assembly protein SufB	SO:0001217, UniRef:UniRef50_A0A3G9KAX6
contig_3	cds	3514	4530	+	NPHBLG_00046		SUF system FeS cluster assembly SufBD core domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1Q6LB84
contig_3	cds	4532	5749	+	NPHBLG_00047		Cysteine desulfurase	SO:0001217, UniRef:UniRef50_A0A239TDI6
contig_3	cds	5754	6191	+	NPHBLG_00048	sufU	Fe-S cluster assembly sulfur transfer protein SufU	GO:0005198, GO:0016226, SO:0001217, UniParc:UPI00033ED748, UniRef:UniRef100_R6QKR8, UniRef:UniRef50_A0A097AUM6, UniRef:UniRef90_R6QKR8
contig_3	cds	6181	7245	+	NPHBLG_00049	mnmA	tRNA 2-thiouridine(34) synthase MnmA	EC:2.8.1.13, GO:0008033, GO:0016740, GO:0016783, KEGG:K00566, SO:0001217, UniParc:UPI00033BD476, UniRef:UniRef100_R6Q6R4, UniRef:UniRef50_R7M972, UniRef:UniRef90_R6Q6R4
contig_3	cds	7293	9683	-	NPHBLG_00050		endopeptidase La	SO:0001217, UniParc:UPI00033A9A5E, UniRef:UniRef100_R6QEQ8, UniRef:UniRef50_A0A1V4SI79, UniRef:UniRef90_R6QEQ8
contig_3	cds	9726	10154	-	NPHBLG_00051	rimI	ribosomal protein S18-alanine N-acetyltransferase	EC:2.3.1.266, GO:0008999, GO:0036211, GO:0042254, SO:0001217, UniParc:UPI00033D70B6, UniRef:UniRef100_R6Q422, UniRef:UniRef50_A0A9D1M1C3, UniRef:UniRef90_R6Q422
contig_3	cds	10147	10887	-	NPHBLG_00052	tsaB	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB	EC:2.3.1.234, GO:0002949, SO:0001217, UniParc:UPI00033B09C9, UniRef:UniRef100_R6RAI6, UniRef:UniRef50_R7MAG4, UniRef:UniRef90_R6RAI6
contig_3	cds	10884	11312	-	NPHBLG_00053	tsaE	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE	GO:0002949, SO:0001217, UniParc:UPI0003401D01, UniRef:UniRef100_R6QKR2, UniRef:UniRef50_A0A1Q6L7H2, UniRef:UniRef90_R6QKR2
contig_3	cds	11435	11803	+	NPHBLG_00054		Putative integral membrane protein	SO:0001217, UniParc:UPI000336062A, UniRef:UniRef100_R6Q6Q9, UniRef:UniRef50_R6Q6Q9, UniRef:UniRef90_R6Q6Q9
contig_3	cds	11892	13703	+	NPHBLG_00055	lepA	translation elongation factor 4	EC:3.6.5.n1, GO:0003924, GO:0005525, SO:0001217, UniParc:UPI00033C8652, UniRef:UniRef100_R6QEQ1, UniRef:UniRef50_Q9ZHZ8, UniRef:UniRef90_R6QEQ1
contig_3	cds	13780	14526	+	NPHBLG_00056	rlmB	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB	GO:0006396, GO:0008173, SO:0001217, UniParc:UPI00033FCEC1, UniRef:UniRef100_R6Q416, UniRef:UniRef50_A0A1V6AKI4, UniRef:UniRef90_R6Q416
contig_4	cds	588	983	-	NPHBLG_00057		hypothetical protein	SO:0001217, UniParc:UPI00033A3314, UniRef:UniRef100_R6R8J9, UniRef:UniRef50_R6R8J9, UniRef:UniRef90_R6R8J9
contig_4	cds	1067	1921	-	NPHBLG_00058		PF06541 family protein	SO:0001217, UniParc:UPI00033E21BC, UniRef:UniRef100_R6Q4U3, UniRef:UniRef50_R7LQX2, UniRef:UniRef90_R6Q4U3
contig_4	cds	1938	2912	-	NPHBLG_00059	xerC	Tyrosine recombinase XerC	SO:0001217, UniParc:UPI0003363A22, UniRef:UniRef100_R6Q220, UniRef:UniRef50_A0A1Q6KJX4, UniRef:UniRef90_R7M8V2
contig_4	cds	3003	4196	-	NPHBLG_00060		Acetate kinase	EC:2.7.2.1, KEGG:K00925, SO:0001217, UniParc:UPI000339510E, UniRef:UniRef100_R6QIP4, UniRef:UniRef50_O52594, UniRef:UniRef90_R6QIP4
contig_4	cds	4214	5407	-	NPHBLG_00061		Acetate kinase	EC:2.7.2.1, KEGG:K00925, SO:0001217, UniParc:UPI00033E056E, UniRef:UniRef100_R6Q215, UniRef:UniRef50_O83489, UniRef:UniRef90_R6Q215
