Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
ERR011347_MEGAHIT_TaxVamb_Refined.1	64.74	0.76	Gradient Boost (General Model)	11	0.885	3416	236.1187270501836	1305690	0.4	1634	474	43908	None
ERR011347_MEGAHIT_TaxVamb_Refined.2	69.38	1.26	Neural Network (Specific Model)	11	0.899	2866	229.51025917926566	1416416	0.31	1852	561	19347	None
ERR011347_MEGAHIT_TaxVamb_Refined.43	71.61	3.76	Gradient Boost (General Model)	11	0.888	2841	227.19246575342467	1118712	0.26	1460	457	13224	None
ERR011348_MEGAHIT_MetaBinner_Refined.1	99.98	0.88	Neural Network (Specific Model)	11	0.887	28278	304.3213159080667	2281062	0.41	2219	128	127486	None
ERR011348_MEGAHIT_MetaBinner_Refined.6_sub	81.24	4.6	Gradient Boost (General Model)	11	0.9	3714	248.15899383009017	1739025	0.45	2107	581	39244	None
ERR011348_MEGAHIT_TaxVamb_Refined.10	58.65	1.46	Gradient Boost (General Model)	11	0.909	6924	303.1471264367816	869213	0.45	870	190	29729	None
ERR011348_MEGAHIT_TaxVamb_Refined.15_sub	72.63	3.94	Gradient Boost (General Model)	11	0.903	2711	252.92191332788227	2049779	0.43	2446	869	19123	None
ERR011348_MEGAHIT_TaxVamb_Refined.16	58.84	3.26	Neural Network (Specific Model)	11	0.869	3294	242.93139293139293	2012712	0.54	2405	734	18640	None
ERR011348_MEGAHIT_TaxVamb_Refined.20	75.67	0.07	Gradient Boost (General Model)	11	0.931	2140	246.73934426229508	968442	0.33	1220	484	16413	None
ERR011348_MEGAHIT_TaxVamb_Refined.21	53.89	2.68	Gradient Boost (General Model)	11	0.916	1713	235.41643454039	1104734	0.39	1436	646	11479	None
ERR011348_MEGAHIT_TaxVamb_Refined.44	87.93	4.3	Gradient Boost (General Model)	11	0.912	2698	239.96865342163355	1785067	0.44	2265	738	10962	None
ERR011348_MEGAHIT_TaxVamb_Refined.5	94.4	2.9	Neural Network (Specific Model)	11	0.913	13773	334.8021238021238	4243097	0.47	3861	503	44835	None
ERR011348_MEGAHIT_TaxVamb_Refined.6_sub	90.68	3.99	Neural Network (Specific Model)	11	0.874	4322	287.3107670147641	2734234	0.43	2777	835	34297	None
ERR011349_MEGAHIT_TaxVamb_Refined.1	88.75	3.42	Gradient Boost (General Model)	11	0.897	26590	290.1617647058824	1252065	0.28	1292	71	97047	None
ERR011349_MEGAHIT_TaxVamb_Refined.2	99.96	3.74	Neural Network (Specific Model)	11	0.919	8783	276.36656200941917	2293276	0.37	2548	384	37217	None
