#Annotated with Bakta v1.11.4, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	140	373	+	KJPNBL_00001	8.8	6.2		
contig_5	11	661	+	KJPNBL_00012	25.4	8.6		
contig_10	3	221	+	KJPNBL_00043	8.9	9.6		
contig_14	72	194	+	KJPNBL_00065	4.5	4.1		
contig_14	288	668	+	KJPNBL_00066	13.9	8.7		
contig_17	683	931	-	KJPNBL_00071	9.5	8.0		SO:0001217, UniRef:UniRef50_A0A173WK58, UniRef:UniRef90_A0A173WK58
contig_22	1659	2015	-	KJPNBL_00083	13.4	5.4	PF14278.11|TetR_C_8	PFAM:PF14278.11
contig_30	5	841	+	KJPNBL_00101	31.5	8.4		
contig_32	49	942	+	KJPNBL_00103	34.3	5.0	PF08264.19|Anticodon_1, PF10458.14|Val_tRNA-synt_C	PFAM:PF08264.19, PFAM:PF10458.14
contig_42	52	462	+	KJPNBL_00148	15.3	4.1		
contig_47	1679	2386	-	KJPNBL_00168	25.4	8.8		
contig_54	283	687	+	KJPNBL_00178	14.8	4.5		SO:0001217, UniRef:UniRef50_A0A174D2V0, UniRef:UniRef90_A0A174D2V0
contig_54	6138	6539	-	KJPNBL_00185	16.3	9.4		
contig_58	239	781	+	KJPNBL_00190	19.5	4.1		
contig_63	1438	1938	-	KJPNBL_00202	18.0	5.7		
contig_67	588	869	+	KJPNBL_00215	10.6	7.7		RefSeq:WP_147602739.1, SO:0001217, UniParc:UPI00082075D3, UniRef:UniRef100_A0A1C5XDF2, UniRef:UniRef50_A0A1C5M6A2, UniRef:UniRef90_A0A1C5M6A2
contig_75	6800	7144	-	KJPNBL_00234	12.4	4.1	PF00496.27|SBP_bac_5	PFAM:PF00496.27
contig_79	113	991	+	KJPNBL_00240	33.9	12.0		
contig_79	1154	2404	+	KJPNBL_00241	48.5	12.0		
contig_79	4286	4375	+	KJPNBL_00243	3.2	9.3		SO:0001217, UniParc:UPI00038FFBE7, UniRef:UniRef100_A0A174W8E5, UniRef:UniRef50_A0A174W8E5, UniRef:UniRef90_A0A174W8E5
contig_79	5327	5416	-	KJPNBL_00245	3.1	4.1		
contig_80	2389	2571	-	KJPNBL_00250	7.3	4.1		
contig_84	5828	6049	-	KJPNBL_00266	8.1	9.7		RefSeq:WP_022380928.1, SO:0001217, UniParc:UPI00033C15A6, UniRef:UniRef100_A0A173ZCR5, UniRef:UniRef50_A0A173ZCR5, UniRef:UniRef90_A0A173ZCR5
contig_84	7462	7929	-	KJPNBL_00269	17.3	4.9		RefSeq:WP_022380930.1, SO:0001217, UniParc:UPI00033CB8F0, UniRef:UniRef100_A0A173ZEJ6, UniRef:UniRef50_A0A174AQ38, UniRef:UniRef90_A0A174AQ38
contig_84	8247	8678	-	KJPNBL_00271	17.1	4.7		SO:0001217, UniRef:UniRef50_A0A173ZD27, UniRef:UniRef90_A0A173ZD27
contig_88	1525	3189	-	KJPNBL_00296	63.4	5.4		
contig_98	2654	3106	-	KJPNBL_00314	17.2	8.8		
contig_101	2682	2816	+	KJPNBL_00320	4.6	5.5		SO:0001217, UniParc:UPI0003F99808, UniRef:UniRef100_A0A174NCS1, UniRef:UniRef50_A0A174DKU7, UniRef:UniRef90_A0A174DKU7
contig_103	513	1217	+	KJPNBL_00323	24.5	4.1		
contig_106	6	1175	+	KJPNBL_00330	44.6	9.5		
