contigName	contigLen	totalAvgDepth	ERR011347_ERR011347.sorted.bam	ERR011347_ERR011347.sorted.bam-var
k79_12180	254	11.066	11.0673	8.14106
k79_0	248	3.05	3.05102	1.34788
k79_48720	312	4.66463	4.66667	2.34783
k79_85260	365	3.61751	3.6186	0.741708
k79_73080	470	5.38199	5.38125	3.72253
k79_24360	473	6.74154	6.74303	9.29088
k79_1	284	20.4559	20.4565	78.2937
k79_85261	335	5.14438	5.14286	5.22948
k79_2	240	3.75	3.74468	0.557767
k79_73081	307	3.86164	3.86335	1.06871
k79_48721	434	6.21678	6.21528	3.36813
k79_24361	379	5.17316	5.17316	3.84814
k79_3	354	3.83981	3.83981	1.37421
k79_36540	984	11.6065	11.6065	34.1141
k79_85262	449	13.1927	13.1927	7.61608
k79_48722	348	4.885	4.885	2.21284
k79_24362	371	4.60538	4.60538	1.34808
k79_12181	1154	7.73161	7.73161	6.5886
k79_85263	509	15.5623	15.5623	61.7079
k79_24363	530	4.12565	4.12565	0.981543
k79_4	682	6.57491	6.57491	4.01971
k79_12182	392	9.09836	9.09836	73.9738
k79_48723	925	7.68597	7.68597	15.0301
k79_73082	1227	14.5218	14.5218	47.2053
k79_12183	395	5.11336	5.11336	2.10092
k79_48724	255	2.17757	2.17757	0.732323
k79_73083	239	3.32967	3.32967	0.534553
k79_36541	1200	7.16445	7.16445	10.7389
k79_5	731	5.25043	5.25043	10.0059
k79_36542	247	4.25253	4.25253	0.660071
k79_48725	311	72.5951	72.5951	876.872
k79_60900	274	4.15079	4.15079	0.945079
k79_73084	527	6.21108	6.21108	4.46326
k79_6	477	3.77204	3.77204	1.84117
k79_73085	268	6.7	6.7	6.24537
k79_48726	600	15.5332	15.5332	137.238
k79_73086	252	3.25	3.25	0.65534
k79_60901	673	6.85524	6.85524	17.3912
k79_60902	261	3.87611	3.87611	1.80594
k79_7	633	13.5567	13.5567	42.4127
k79_73087	400	3.55556	3.55556	1.18814
k79_12184	336	10.2234	10.2234	9.66105
k79_48727	497	5.32092	5.32092	5.52315
k79_60903	269	6.47107	6.47107	4.51791
k79_73088	256	1.63889	1.63889	0.232866
k79_36543	1220	4.89459	4.89459	7.25964
k79_48728	265	6.47009	6.47009	1.19953
k79_8	381	2.66953	2.66953	0.515318
k79_60904	324	4.14773	4.14773	2.24091
k79_73089	355	5.57971	5.57971	2.03124
k79_12185	554	7.05172	7.05172	7.58498
k79_48729	341	5.67357	5.67357	7.68975
k79_9	336	9.33511	9.33511	7.24004
k79_12186	297	4.97315	4.97315	1.81008
k79_10	281	3.15038	3.15038	2.05297
k79_73090	456	9.23052	9.23052	24.3864
k79_60905	605	5.41357	5.41357	1.05885
k79_48730	474	10.7117	10.7117	49.615
k79_11	239	4.3956	4.3956	0.419536
k79_73091	286	11.0507	11.0507	18.3259
k79_12187	439	4.03436	4.03436	3.08156
k79_73092	305	5.70701	5.70701	2.3495
k79_60906	457	9.40777	9.40777	11.1254
k79_36544	1317	6.98888	6.98888	8.35005
k79_24364	417	6.62454	6.62454	4.6085
k79_12	756	6.37336	6.37336	9.8126
k79_73093	624	8.18487	8.18487	11.1068
k79_48731	1046	7.53675	7.53675	9.337
k79_73094	330	8	8	8.60773
k79_12188	1281	9.58517	9.58517	20.7889
k79_73095	322	5.08621	5.08621	1.81333
k79_36545	1004	5.42757	5.42757	8.9421
k79_12189	296	6.27703	6.27703	17.9976
k79_48732	745	5.75042	5.75042	7.94934
k79_36546	296	5.74324	5.74324	5.23975
k79_73096	368	6.65455	6.65455	4.47372
k79_48733	244	3.92708	3.92708	0.973575
k79_36547	271	12.2764	12.2764	7.25084
k79_12190	435	3.00697	3.00697	1.16079
k79_48734	329	5.45856	5.45856	0.649662
k79_36548	270	6.18852	6.18852	1.06334
k79_24365	1570	6.56399	6.56399	7.46919
k79_12191	585	13.7643	13.7643	60.2999
k79_73097	854	8.01841	8.01841	47.652
k79_13	1879	24.5592	24.5592	160.03
k79_60907	2232	12.8724	12.8724	51.0597
k79_24366	455	7.15309	7.15309	15.5287
k79_36549	611	6.10583	6.10583	2.79614
k79_24367	246	3.2551	3.2551	0.418788
