bin	bin_set	unique_SCGs	redundant_SCGs	SCG_set	size	contigs	N50	bin_score	SCG_completeness	SCG_redundancy
ERR011348_MEGAHIT_TaxVamb.5	MEGAHIT-TaxVamb-ERR011348.tsv	50	0	bacteria	4243097	503	13773	0.980392156862745	98	0
ERR011348_MEGAHIT_MetaBinner.1	MEGAHIT-MetaBinner-ERR011348.tsv	49	2	bacteria	2281062	128	28278	0.916686674669868	96	4
ERR011348_MEGAHIT_TaxVamb.44	MEGAHIT-TaxVamb-ERR011348.tsv	46	1	bacteria	1785067	738	2698	0.879113384484229	90	2
ERR011348_MEGAHIT_TaxVamb.20	MEGAHIT-TaxVamb-ERR011348.tsv	32	0	archaea	968442	484	2140	0.842105263157895	84	0
ERR011348_MEGAHIT_MetaBinner.6_sub	MEGAHIT-MetaBinner-ERR011348.tsv	44	3	bacteria	1739025	581	3714	0.792424242424243	86	6
ERR011348_MEGAHIT_TaxVamb.10	MEGAHIT-TaxVamb-ERR011348.tsv	41	2	bacteria	869213	190	6924	0.755045432807269	80	4
ERR011348_MEGAHIT_TaxVamb.6_sub	MEGAHIT-TaxVamb-ERR011348.tsv	45	6	bacteria	2734234	835	4322	0.743529411764706	88	12
ERR011348_MEGAHIT_TaxVamb.21	MEGAHIT-TaxVamb-ERR011348.tsv	34	1	bacteria	1104734	646	1713	0.63921568627451	67	2
ERR011348_MEGAHIT_TaxVamb.16	MEGAHIT-TaxVamb-ERR011348.tsv	28	0	bacteria	2012712	734	3294	0.549019607843137	55	0
ERR011348_MEGAHIT_TaxVamb.15_sub	MEGAHIT-TaxVamb-ERR011348.tsv	30	2	bacteria	2049779	869	2711	0.528627450980392	59	4
