name	radius	peak valley ratio	kind	bp	ncontigs	medoid
1	0.075	0.08	normal	1305690	474	k79_10385
2	0.12	0.01	normal	1416416	561	k79_32455
3	None	None	loner	12386	1	k79_67965
4	0.095	0.08	normal	1775349	1006	k79_51684
5	None	None	loner	11228	1	k79_94391
6	None	None	loner	10624	1	k79_39963
7	0.12	0.03	normal	1564193	830	k79_94580
8	0.14	0.06	normal	274195	181	k79_94298
9	None	None	loner	8366	1	k79_74038
10	None	None	loner	8263	1	k79_28187
11	None	None	loner	8170	1	k79_618
12	0.045	0.0	normal	19367	3	k79_29147
13	0.07	0.07	normal	32395	11	k79_39827
14	None	None	loner	6259	1	k79_94289
15	None	None	loner	6133	1	k79_59624
16	None	None	loner	5962	1	k79_97292
17	None	None	loner	5925	1	k79_47182
18	None	None	loner	5863	1	k79_32741
19	None	None	loner	5428	1	k79_44863
20	0.12	0.05	normal	728191	501	k79_62377
21	None	None	loner	5328	1	k79_50172
22	None	None	loner	5248	1	k79_94679
23	None	None	loner	5217	1	k79_19989
24	None	None	loner	5142	1	k79_22933
25	None	None	loner	5033	1	k79_83038
26	None	None	loner	4945	1	k79_42734
27	None	None	loner	4906	1	k79_58875
28	None	None	loner	4847	1	k79_93414
29	None	None	loner	4767	1	k79_51910
30	None	None	loner	4752	1	k79_6820
31	None	None	loner	4752	1	k79_30697
32	None	None	loner	4662	1	k79_27015
33	None	None	loner	4552	1	k79_60894
34	None	None	loner	4495	1	k79_55542
35	0.075	0.07	normal	66870	32	k79_16925
36	None	None	loner	4401	1	k79_35438
37	None	None	loner	4324	1	k79_46528
38	None	None	loner	4290	1	k79_55956
39	None	None	loner	4265	1	k79_79918
40	None	None	loner	4111	1	k79_89130
41	None	None	loner	4070	1	k79_37362
42	0.03	0.12	normal	17877	2	k79_59371
43	0.19	0.15	normal	1118712	457	k79_86299
44	0.02	0.18	normal	7149	1	k79_71693
45	0.17	0.11	normal	578836	368	k79_50326
46	0.055	0.13	normal	46894	17	k79_81730
47	0.02	0.17	normal	5317	1	k79_85061
48	0.025	0.14	normal	5302	1	k79_71478
49	0.025	0.13	normal	5082	1	k79_350
50	0.105	0.15	normal	323596	223	k79_49272
51	0.12	0.13	normal	364144	254	k79_68340
52	0.12	0.16	normal	74118	52	k79_57912
53	None	None	loner	4006	1	k79_91054
54	0.025	0.15	normal	3959	1	k79_50263
55	None	None	loner	3861	1	k79_34730
56	None	None	loner	3847	1	k79_14891
57	None	None	loner	3844	1	k79_3156
58	None	None	loner	3813	1	k79_27476
59	None	None	loner	3724	1	k79_37286
60	0.025	0.17	normal	3721	1	k79_55206
61	None	None	loner	3663	1	k79_9774
62	None	None	loner	3650	1	k79_76799
63	None	None	loner	3620	1	k79_71318
64	None	None	loner	3608	1	k79_8241
65	None	None	loner	3585	1	k79_49775
66	None	None	loner	3565	1	k79_90377
67	None	None	loner	3552	1	k79_70878
68	None	None	loner	3550	1	k79_44251
69	None	None	loner	3528	1	k79_63088
70	0.11	0.29	normal	325885	156	k79_68464
71	0.02	0.24	normal	7360	1	k79_73286
72	0.02	0.29	normal	7310	1	k79_25881
73	0.03	0.3	normal	7977	2	k79_3200
74	0.02	0.25	normal	4922	1	k79_17409
75	0.06	0.15	normal	10678	4	k79_88818
76	0.11	0.29	normal	224411	167	k79_19283
77	0.05	0.26	normal	10073	4	k79_74679
78	None	None	loner	3494	1	k79_10908
79	None	None	loner	3477	1	k79_87587
80	None	None	loner	3472	1	k79_37997
81	None	None	loner	3468	1	k79_61406
82	None	None	loner	3439	1	k79_63522
83	None	None	loner	3432	1	k79_24115
84	None	None	loner	3419	1	k79_36803
85	None	None	loner	3403	1	k79_39924
86	None	None	loner	3381	1	k79_20755
87	None	None	loner	3376	1	k79_66994
88	None	None	loner	3360	1	k79_94424
89	None	None	loner	3351	1	k79_56837
90	None	None	loner	3331	1	k79_77711
91	None	None	loner	3322	1	k79_52413
92	0.06	0.34	normal	503477	51	k79_16012
93	0.05	0.29	normal	86667	11	k79_83009
94	0.05	0.39	normal	27911	5	k79_64794
95	0.05	0.39	normal	30761	7	k79_81812
96	0.02	0.32	normal	8752	1	k79_5739
97	0.02	0.37	normal	6961	1	k79_20943
98	0.02	0.32	normal	5640	1	k79_69681
99	0.025	0.1	normal	5105	1	k79_32079
100	0.03	0.32	normal	8065	2	k79_96312
101	0.02	0.38	normal	3637	1	k79_86349
102	0.02	0.39	normal	3503	1	k79_96107
103	None	None	loner	3307	1	k79_23758
104	None	None	loner	3293	1	k79_20799
105	None	None	loner	3283	1	k79_68818
106	None	None	loner	3234	1	k79_77138
107	None	None	loner	3210	1	k79_65846
108	None	None	loner	3191	1	k79_82427
109	None	None	loner	3171	1	k79_56324
110	0.02	0.2	normal	3148	1	k79_78403
111	None	None	loner	3140	1	k79_52454
112	None	None	loner	3110	1	k79_39077
113	None	None	loner	3103	1	k79_15017
114	None	None	loner	3090	1	k79_80694
115	0.07	0.48	normal	149264	116	k79_69738
116	0.05	0.41	normal	7206	3	k79_51224
117	0.135	0.34	normal	183312	125	k79_1154
118	0.035	0.41	normal	5929	2	k79_16863
119	None	None	loner	3039	1	k79_34595
120	None	None	loner	3010	1	k79_66091
121	0.025	0.18	normal	2998	1	k79_85638
122	None	None	loner	2994	1	k79_95792
123	None	None	loner	2993	1	k79_54355
124	None	None	loner	2989	1	k79_594
125	0.06	None	fallback	353091	144	k79_84007
126	0.02	0.52	normal	18032	1	k79_80515
127	0.06	None	fallback	156307	45	k79_85164
128	0.06	None	fallback	87906	17	k79_56351
129	0.06	None	fallback	145529	34	k79_17571
130	0.06	None	fallback	170863	49	k79_2744
131	0.06	None	fallback	169813	62	k79_1144
132	0.025	0.57	normal	15529	2	k79_70018
133	0.06	None	fallback	57498	13	k79_29006
134	None	None	loner	10674	1	k79_81164
135	0.04	0.33	normal	69434	15	k79_85408
136	0.02	0.48	normal	10394	1	k79_21132
137	0.06	None	fallback	83239	25	k79_60592
138	0.06	None	fallback	101873	50	k79_89267
139	0.06	None	fallback	49248	12	k79_49874
140	0.02	0.31	normal	7109	1	k79_76452
141	0.06	None	fallback	56235	20	k79_43123
142	0.06	None	fallback	40193	23	k79_59525
143	0.06	None	fallback	18032	6	k79_1899
144	0.055	0.47	normal	62484	21	k79_4075
145	None	None	loner	6241	1	k79_3997
146	0.06	0.34	normal	20668	5	k79_56317
147	0.06	None	fallback	45724	27	k79_25280
148	0.06	None	fallback	29653	14	k79_45227
149	0.02	0.26	normal	5354	1	k79_61940
150	0.06	None	fallback	39949	18	k79_20741
151	0.06	None	fallback	33453	17	k79_83353
152	0.06	None	fallback	30016	14	k79_29426
153	0.06	None	fallback	67861	41	k79_3508
154	0.06	None	fallback	16612	5	k79_17806
155	0.04	0.2	normal	8225	2	k79_58420
156	0.06	None	fallback	17906	8	k79_57188
157	0.02	0.28	normal	5192	1	k79_43414
158	0.02	0.28	normal	5061	1	k79_87334
159	0.06	None	fallback	18398	7	k79_97118
160	None	None	loner	4855	1	k79_10539
161	0.02	0.29	normal	4331	1	k79_39971
162	None	None	loner	4811	1	k79_63348
163	0.06	None	fallback	11822	4	k79_40469
