# Annotated with Bakta
# Software: v1.11.4
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	140	373	+	KJPNBL_00001		hypothetical protein	
contig_1	cds	425	901	+	KJPNBL_00002		Uncharacterized protein conserved in bacteria	RefSeq:WP_008703998.1, SO:0001217, UniParc:UPI0001AFE395, UniRef:UniRef100_A0A174R5K0, UniRef:UniRef50_C6LJ02, UniRef:UniRef90_A0A174GJM1
contig_1	cds	1065	1586	+	KJPNBL_00003		nicotinamidase	EC:3.5.1.-, EC:3.5.1.19, KEGG:K08281, RefSeq:WP_008703997.1, SO:0001217, UniParc:UPI0001AFE394, UniRef:UniRef100_A0A173XRJ5, UniRef:UniRef50_A0A5K1JB23, UniRef:UniRef90_A0A174GFR6
contig_1	cds	1674	2276	+	KJPNBL_00004		putative hydrolase (HD superfamily)	RefSeq:WP_008703996.1, SO:0001217, UniParc:UPI0001AFE393, UniRef:UniRef100_A0A174RBS6, UniRef:UniRef50_A0A7U9T3C1, UniRef:UniRef90_A0A174GLV1
contig_3	cds	31	867	+	KJPNBL_00005	ycjO	Inner membrane ABC transporter permease protein ycjO	SO:0001217, UniRef:UniRef50_F3B4S7, UniRef:UniRef90_A0A174TJ44
contig_3	cds	879	1733	+	KJPNBL_00006	ycjP	Inner membrane ABC transporter permease protein ycjP	RefSeq:WP_021652326.1, SO:0001217, UniParc:UPI0002E0C9A0, UniRef:UniRef100_A0A942WCU0, UniRef:UniRef50_F3B4S6, UniRef:UniRef90_A0A173X3P8
contig_3	cds	1769	2878	+	KJPNBL_00007		DUF2961 domain-containing protein	EC:3.2.1.225, KEGG:K27494, RefSeq:WP_008705745.1, SO:0001217, UniParc:UPI0001AFE3E1, UniRef:UniRef100_A0A174TTN5, UniRef:UniRef50_A0A0R2CCW2, UniRef:UniRef90_A0A564W5F0
contig_3	cds	2897	4144	+	KJPNBL_00008		Maltose-binding periplasmic proteins/domains	RefSeq:WP_022381103.1, SO:0001217, UniParc:UPI00033FA322, UniRef:UniRef100_A0A174TQP0, UniRef:UniRef50_U2EP63, UniRef:UniRef90_A0A174LC39
contig_4	cds	315	2573	-	KJPNBL_00009		hydratase	RefSeq:WP_118568994.1, SO:0001217, UniParc:UPI000E51791B, UniRef:UniRef100_UPI000E51791B, UniRef:UniRef50_P75764, UniRef:UniRef90_A0A1C5RP76
contig_4	cds	2898	3170	+	KJPNBL_00010		DUF3850 domain-containing protein	RefSeq:WP_008705009.1, SO:0001217, UniParc:UPI0001AFE501, UniRef:UniRef100_A0A174BEU1, UniRef:UniRef50_A0A174MWZ6, UniRef:UniRef90_A0A174MWZ6
contig_4	cds	3270	3866	-	KJPNBL_00011		SLATT domain-containing protein	RefSeq:WP_025577784.1, SO:0001217, UniParc:UPI0003F710B6, UniRef:UniRef100_A0A174DN78, UniRef:UniRef50_A0A4P9EC95, UniRef:UniRef90_A0A174DN78
contig_5	cds	11	661	+	KJPNBL_00012		hypothetical protein	
contig_6	cds	225	839	-	KJPNBL_00013		phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)	RefSeq:WP_022379995.1, SO:0001217, UniParc:UPI00033FF679, UniRef:UniRef100_A0A173YL52, UniRef:UniRef50_A0A173YL52, UniRef:UniRef90_A0A174JR46
contig_6	cds	839	3256	-	KJPNBL_00014	pheT	phenylalanine--tRNA ligase subunit beta	EC:6.1.1.20, GO:0000287, GO:0004826, GO:0005524, GO:0006432, RefSeq:WP_008703916.1, SO:0001217, UniParc:UPI0001AFE2F5, UniRef:UniRef100_A0A174JSH9, UniRef:UniRef50_A9KHY0, UniRef:UniRef90_A0A173WEV5
