genome,completeness,contamination,Completeness_Model_Used,Translation_Table_Used,Coding_Density,Contig_N50,Average_Gene_Length,Genome_Size,GC_Content,Total_Coding_Sequences,Total_Contigs,Max_Contig_Length,Additional_Notes,length,N50,centrality
ERR011347_MEGAHIT_TaxVamb_Refined.1.fa,64.74,0.76,Gradient Boost (General Model),11,0.885,3416,236.1187270501836,1305690,0.4,1634,474,43908,,1305690,3416,0.995572
ERR011347_MEGAHIT_TaxVamb_Refined.2.fa,69.38,1.26,Neural Network (Specific Model),11,0.899,2866,229.5102591792657,1416416,0.31,1852,561,19347,,1416416,2866,0.0
ERR011347_MEGAHIT_TaxVamb_Refined.43.fa,71.61,3.76,Gradient Boost (General Model),11,0.888,2841,227.19246575342467,1118712,0.26,1460,457,13224,,1118712,2841,0.0
ERR011348_MEGAHIT_MetaBinner_Refined.1.fa,99.98,0.88,Neural Network (Specific Model),11,0.887,28278,304.3213159080667,2281062,0.41,2219,128,127486,,2281062,28278,0.987205
ERR011348_MEGAHIT_MetaBinner_Refined.6_sub.fa,81.24,4.6,Gradient Boost (General Model),11,0.9,3714,248.15899383009017,1739025,0.45,2107,581,39244,,1739025,3714,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.10.fa,58.65,1.46,Gradient Boost (General Model),11,0.909,6924,303.1471264367816,869213,0.45,870,190,29729,,869213,6924,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.15_sub.fa,72.63,3.94,Gradient Boost (General Model),11,0.903,2711,252.9219133278823,2049779,0.43,2446,869,19123,,2049779,2711,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.16.fa,58.84,3.26,Neural Network (Specific Model),11,0.869,3294,242.9313929313929,2012712,0.54,2405,734,18640,,2012712,3294,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.20.fa,75.67,0.07,Gradient Boost (General Model),11,0.931,2140,246.73934426229508,968442,0.33,1220,484,16413,,968442,2140,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.21.fa,53.89,2.68,Gradient Boost (General Model),11,0.916,1713,235.41643454039,1104734,0.39,1436,646,11479,,1104734,1713,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.44.fa,87.93,4.3,Gradient Boost (General Model),11,0.912,2698,239.96865342163355,1785067,0.44,2265,738,10962,,1785067,2698,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.5.fa,94.4,2.9,Neural Network (Specific Model),11,0.913,13773,334.8021238021238,4243097,0.47,3861,503,44835,,4243097,13773,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.6_sub.fa,90.68,3.99,Neural Network (Specific Model),11,0.874,4322,287.3107670147641,2734234,0.43,2777,835,34297,,2734234,4322,0.0
ERR011349_MEGAHIT_TaxVamb_Refined.1.fa,88.75,3.42,Gradient Boost (General Model),11,0.897,26590,290.1617647058824,1252065,0.28,1292,71,97047,,1252065,26590,0.0
ERR011349_MEGAHIT_TaxVamb_Refined.2.fa,99.96,3.74,Neural Network (Specific Model),11,0.919,8783,276.3665620094192,2293276,0.37,2548,384,37217,,2293276,8783,0.0
