reference,querry,ani,alignment_coverage,primary_cluster
ERR011347_MEGAHIT_TaxVamb_Refined.1.fa,ERR011347_MEGAHIT_TaxVamb_Refined.1.fa,1.0,1.0,7
ERR011347_MEGAHIT_TaxVamb_Refined.1.fa,ERR011348_MEGAHIT_MetaBinner_Refined.1.fa,0.9955719999999999,0.7676767676767676,7
ERR011348_MEGAHIT_MetaBinner_Refined.1.fa,ERR011347_MEGAHIT_TaxVamb_Refined.1.fa,0.987205,0.21902017291066284,7
ERR011348_MEGAHIT_MetaBinner_Refined.1.fa,ERR011348_MEGAHIT_MetaBinner_Refined.1.fa,1.0,0.9913544668587896,7
ERR011347_MEGAHIT_TaxVamb_Refined.2.fa,ERR011347_MEGAHIT_TaxVamb_Refined.2.fa,1.0,0.9715909090909091,10
ERR011347_MEGAHIT_TaxVamb_Refined.2.fa,ERR011348_MEGAHIT_TaxVamb_Refined.20.fa,0.9615130000000001,0.1875,10
ERR011348_MEGAHIT_TaxVamb_Refined.20.fa,ERR011347_MEGAHIT_TaxVamb_Refined.2.fa,0.9498439999999999,0.4605263157894737,10
ERR011348_MEGAHIT_TaxVamb_Refined.20.fa,ERR011348_MEGAHIT_TaxVamb_Refined.20.fa,1.0,1.0,10
ERR011347_MEGAHIT_TaxVamb_Refined.43.fa,ERR011347_MEGAHIT_TaxVamb_Refined.43.fa,1.0,0.9854014598540146,11
ERR011348_MEGAHIT_MetaBinner_Refined.6_sub.fa,ERR011348_MEGAHIT_MetaBinner_Refined.6_sub.fa,1.0,0.9928571428571429,8
ERR011348_MEGAHIT_TaxVamb_Refined.10.fa,ERR011348_MEGAHIT_TaxVamb_Refined.10.fa,1.0,0.973404255319149,5
ERR011348_MEGAHIT_TaxVamb_Refined.15_sub.fa,ERR011348_MEGAHIT_TaxVamb_Refined.15_sub.fa,1.0,0.9915611814345991,1
ERR011348_MEGAHIT_TaxVamb_Refined.16.fa,ERR011348_MEGAHIT_TaxVamb_Refined.16.fa,1.0,0.9859154929577465,12
ERR011348_MEGAHIT_TaxVamb_Refined.21.fa,ERR011348_MEGAHIT_TaxVamb_Refined.21.fa,1.0,0.9629629629629629,2
ERR011348_MEGAHIT_TaxVamb_Refined.44.fa,ERR011348_MEGAHIT_TaxVamb_Refined.44.fa,1.0,0.9705882352941176,9
ERR011348_MEGAHIT_TaxVamb_Refined.5.fa,ERR011348_MEGAHIT_TaxVamb_Refined.5.fa,1.0,0.9870242214532872,6
ERR011348_MEGAHIT_TaxVamb_Refined.6_sub.fa,ERR011348_MEGAHIT_TaxVamb_Refined.6_sub.fa,1.0,0.9814814814814815,3
ERR011349_MEGAHIT_TaxVamb_Refined.1.fa,ERR011349_MEGAHIT_TaxVamb_Refined.1.fa,1.0,0.9869109947643979,13
ERR011349_MEGAHIT_TaxVamb_Refined.2.fa,ERR011349_MEGAHIT_TaxVamb_Refined.2.fa,1.0,0.9824561403508771,4
