#Annotated with Bakta v1.11.4, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	609	1481	+	NPHBLG_00002	33.7	5.1		SO:0001217, UniParc:UPI0003407460, UniRef:UniRef100_R6QEM8, UniRef:UniRef50_R6QEM8, UniRef:UniRef90_R6QEM8
contig_2	1615	2679	+	NPHBLG_00014	42.6	7.6		
contig_2	2657	3670	+	NPHBLG_00015	40.1	8.9		
contig_2	3965	5917	+	NPHBLG_00016	78.5	5.3		
contig_2	5923	6459	-	NPHBLG_00017	21.6	9.3		
contig_2	6437	6865	-	NPHBLG_00018	17.3	4.6		
contig_2	7370	7921	+	NPHBLG_00020	22.0	9.0		
contig_2	8216	8731	+	NPHBLG_00021	20.7	8.6		
contig_2	11642	12826	+	NPHBLG_00024	44.9	8.9	PF01420.25|Methylase_S	PFAM:PF01420.25
contig_2	20026	20376	+	NPHBLG_00029	13.7	5.1		
contig_2	22166	22384	+	NPHBLG_00033	8.3	4.7		SO:0001217, UniParc:UPI0003387DB0, UniRef:UniRef100_R6Q4K7, UniRef:UniRef50_R6Q4K7, UniRef:UniRef90_R6Q4K7
contig_3	16	1194	+	NPHBLG_00043	42.9	5.1		
contig_4	588	983	-	NPHBLG_00057	15.6	9.5		SO:0001217, UniParc:UPI00033A3314, UniRef:UniRef100_R6R8J9, UniRef:UniRef50_R6R8J9, UniRef:UniRef90_R6R8J9
contig_4	12498	12665	-	NPHBLG_00067	6.3	6.1		
contig_4	12948	13124	+	NPHBLG_00068	6.8	9.7	PF00881.29|Nitroreductase	PFAM:PF00881.29
contig_5	718	1284	+	NPHBLG_00071	22.0	4.9		SO:0001217, UniParc:UPI0003369CFC, UniRef:UniRef100_R6RAV5, UniRef:UniRef50_R6RAV5, UniRef:UniRef90_R6RAV5
contig_8	241	342	+	NPHBLG_00097	3.8	9.4		
contig_8	488	1924	+	NPHBLG_00098	54.0	8.4	PF05987.18|DUF898, PF20403.5|DUF6693	PFAM:PF05987.18, PFAM:PF20403.5
contig_8	3742	4446	+	NPHBLG_00102	27.2	5.9		SO:0001217, UniParc:UPI0003369477, UniRef:UniRef100_R6R8Y4, UniRef:UniRef50_R6R8Y4, UniRef:UniRef90_R6R8Y4
contig_8	7365	8054	+	NPHBLG_00107	25.5	4.9		SO:0001217, UniParc:UPI000334EE8E, UniRef:UniRef100_R6Q578, UniRef:UniRef50_R6Q578, UniRef:UniRef90_R6Q578
contig_8	9361	9516	+	NPHBLG_00109	6.3	9.9		SO:0001217, UniParc:UPI00033ED7E4, UniRef:UniRef100_R6R8Z6, UniRef:UniRef50_R6R8Z6, UniRef:UniRef90_R6R8Z6
contig_8	11218	11307	+	NPHBLG_00112	3.2	10.3		
contig_8	12889	13128	+	NPHBLG_00114	9.2	6.3		
contig_9	299	1594	+	NPHBLG_00115	48.7	5.2		SO:0001217, UniParc:UPI0003407519, UniRef:UniRef100_R6Q7G3, UniRef:UniRef50_R6Q7G3, UniRef:UniRef90_R6Q7G3
contig_10	127	453	-	NPHBLG_00121	12.6	4.8		SO:0001217, UniRef:UniRef50_A0A1Q6K5R5
