genome,score,completeness,contamination,strain_heterogeneity,size,N50,cluster,taxonomy,tax_confidence,cluster_members,closest_cluster_member,furthest_cluster_member,completeness_metric,contamination_metric
ERR011348_MEGAHIT_TaxVamb_Refined.15_sub.fa,53.65656475879023,NA,NA,NA,NA,NA,1_0,NA,NA,1,NA,NA,NA,NA
ERR011348_MEGAHIT_TaxVamb_Refined.21.fa,41.11687868148275,NA,NA,NA,NA,NA,2_0,NA,NA,1,NA,NA,NA,NA
ERR011348_MEGAHIT_TaxVamb_Refined.6_sub.fa,71.55784238127362,NA,NA,NA,NA,NA,3_0,NA,NA,1,NA,NA,NA,NA
ERR011349_MEGAHIT_TaxVamb_Refined.2.fa,82.24182144137606,NA,NA,NA,NA,NA,4_0,NA,NA,1,NA,NA,NA,NA
ERR011348_MEGAHIT_TaxVamb_Refined.10.fa,52.28017852960168,NA,NA,NA,NA,NA,5_0,NA,NA,1,NA,NA,NA,NA
ERR011348_MEGAHIT_TaxVamb_Refined.5.fa,80.97951427374285,NA,NA,NA,NA,NA,6_0,NA,NA,1,NA,NA,NA,NA
ERR011348_MEGAHIT_MetaBinner_Refined.1.fa,97.80292934507165,NA,NA,NA,NA,NA,7_1,NA,NA,2,98.72,98.72,NA,NA
ERR011348_MEGAHIT_MetaBinner_Refined.6_sub.fa,59.03492094970187,NA,NA,NA,NA,NA,8_0,NA,NA,1,NA,NA,NA,NA
ERR011348_MEGAHIT_TaxVamb_Refined.44.fa,67.15552097266796,NA,NA,NA,NA,NA,9_0,NA,NA,1,NA,NA,NA,NA
ERR011347_MEGAHIT_TaxVamb_Refined.2.fa,63.81863809303066,NA,NA,NA,NA,NA,10_1,NA,NA,1,NA,NA,NA,NA
ERR011348_MEGAHIT_TaxVamb_Refined.20.fa,75.99520688667461,NA,NA,NA,NA,NA,10_2,NA,NA,1,NA,NA,NA,NA
ERR011347_MEGAHIT_TaxVamb_Refined.43.fa,53.54673561686147,NA,NA,NA,NA,NA,11_0,NA,NA,1,NA,NA,NA,NA
ERR011348_MEGAHIT_TaxVamb_Refined.16.fa,43.30886179741688,NA,NA,NA,NA,NA,12_0,NA,NA,1,NA,NA,NA,NA
ERR011349_MEGAHIT_TaxVamb_Refined.1.fa,72.8723591686658,NA,NA,NA,NA,NA,13_0,NA,NA,1,NA,NA,NA,NA
