# Annotated with Bakta
# Software: v1.11.4
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	40	462	+	DCGIOH_00001		Heptaprenyl diphosphate synthase	SO:0001217, UniRef:UniRef50_A0A412AWU9
contig_1	cds	358	1032	-	DCGIOH_00002		hypothetical protein	
contig_2	cds	206	490	-	DCGIOH_00003		hypothetical protein	
contig_2	cds	509	958	-	DCGIOH_00004		hypothetical protein	
contig_3	cds	43	1752	-	DCGIOH_00005		Carbon starvation protein	KEGG:K06200, SO:0001217, UniRef:UniRef50_G1WI65, UniRef:UniRef90_R5MK09
contig_4	cds	21	521	+	DCGIOH_00006		Sporulation initiation inhibitor protein Soj	SO:0001217, UniRef:UniRef50_A0A7U9MU01
contig_5	cds	825	1691	+	DCGIOH_00007		Thioredoxin-disulfide reductase	SO:0001217, UniRef:UniRef50_A0A6N2USC7, UniRef:UniRef90_R5N1X4
contig_5	cds	1784	4018	-	DCGIOH_00008	pflB	formate C-acetyltransferase	EC:2.3.1.54, GO:0005737, GO:0005975, GO:0008861, KEGG:K00656, SO:0001217, UniParc:UPI0003404BA3, UniRef:UniRef100_A0A9D9T143, UniRef:UniRef50_Q2G1D8, UniRef:UniRef90_A0A8I1J962
contig_5	ncRNA-region	4097	4193	-			ZMP/ZTP riboswitch aptamer (pfl RNA motif)	RFAM:RF01750, SO:0000035
contig_5	cds	4255	5049	-	DCGIOH_00009		hypothetical protein	PFAM:PF02687.27, PFAM:PF12704.14
contig_6	cds	202	882	-	DCGIOH_00010		ECF transporter S component	SO:0001217, UniRef:UniRef50_R6MTQ2, UniRef:UniRef90_R5ML36
contig_6	cds	875	1627	-	DCGIOH_00011		ABC transporter domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1Q6SBE6
contig_7	cds	79	408	+	DCGIOH_00012	mobC	Plasmid mobilization relaxosome protein MobC	RefSeq:WP_005422959.1, SO:0001217, UniParc:UPI0001563416, UniRef:UniRef100_D4LS38, UniRef:UniRef50_A0A7U9MUS4, UniRef:UniRef90_A0A943DJN9
contig_7	cds	405	920	-	DCGIOH_00013		hypothetical protein	
contig_8	cds	24	239	+	DCGIOH_00014		hypothetical protein	SO:0001217, UniRef:UniRef50_R5MGT2, UniRef:UniRef90_R5MGT2
contig_9	cds	244	417	+	DCGIOH_00015		hypothetical protein	
contig_10	cds	487	858	-	DCGIOH_00016		Heavy metal-associated domain protein	SO:0001217, UniParc:UPI0003384A9A, UniRef:UniRef100_R5MKT6, UniRef:UniRef50_A0A844FAL0, UniRef:UniRef90_R5MKT6
contig_10	cds	883	1191	-	DCGIOH_00017	yvgZ	YvgZ	KEGG:K21600, SO:0001217, UniParc:UPI000281555A, UniRef:UniRef100_A0A9D9ZF72, UniRef:UniRef50_A5Z4J8, UniRef:UniRef90_R5N4F0
contig_10	cds	1415	3610	+	DCGIOH_00018		hypothetical protein	
contig_10	cds	3729	4079	-	DCGIOH_00019		hypothetical protein	PFAM:PF02929.23
contig_11	cds	106	579	+	DCGIOH_00020		hypothetical protein	PFAM:PF00753.33
contig_12	cds	38	703	+	DCGIOH_00021		hypothetical protein	PFAM:PF00165.29, PFAM:PF12833.13
contig_12	cds	788	1078	-	DCGIOH_00022		Metallothionein	SO:0001217, UniRef:UniRef50_K0XD35
contig_13	cds	211	1254	+	DCGIOH_00023	hrcA	heat-inducible transcriptional repressor HrcA	GO:0003677, GO:0006355, KEGG:K03705, SO:0001217, UniParc:UPI0003372FBE, UniRef:UniRef100_A0A9D9ZIX7, UniRef:UniRef50_A0A9D1IDL2, UniRef:UniRef90_A0A3C2DWH8
contig_13	cds	1312	1857	+	DCGIOH_00024	grpE	nucleotide exchange factor GrpE	GO:0000774, GO:0006457, GO:0042803, GO:0051087, KEGG:K03687, SO:0001217, UniRef:UniRef50_A0A8I1JC15, UniRef:UniRef90_A0A8I1JC15
contig_13	cds	2419	2685	-	DCGIOH_00025		hypothetical protein	
contig_14	cds	691	1317	-	DCGIOH_00026		Nif3-like dinuclear metal center hexameric protein	EC:3.5.4.16, GO:0005737, GO:0051540, KEGG:K22391, SO:0001217, UniRef:UniRef50_R5MFS0, UniRef:UniRef90_R5MFS0
contig_15	cds	733	1161	+	DCGIOH_00027		hypothetical protein	
contig_15	cds	1704	3092	-	DCGIOH_00028		MFS transporter	SO:0001217, UniRef:UniRef50_R5MPM1, UniRef:UniRef90_R5MPM1
contig_15	cds	3323	4645	-	DCGIOH_00029		Esterase/lipase	SO:0001217, UniRef:UniRef50_A0A348P4L9, UniRef:UniRef90_R5MIS6
contig_15	cds	4642	4755	-	DCGIOH_00030		hypothetical protein	SO:0001217, UniRef:UniRef50_R5N228, UniRef:UniRef90_R5N228
contig_15	cds	4755	5495	-	DCGIOH_00031		hypothetical protein	PFAM:PF00133.28, PFAM:PF08264.19
contig_16	cds	46	666	+	DCGIOH_00032		hypothetical protein	PFAM:PF07992.20
contig_16	cds	663	1037	+	DCGIOH_00033		DUF1667 domain-containing protein	SO:0001217, UniParc:UPI0003394D9E, UniRef:UniRef100_A0A9E0NQR2, UniRef:UniRef50_A9KTB5, UniRef:UniRef90_A0A9E0NQR2
contig_16	cds	1062	2615	+	DCGIOH_00034		Carbohydrate kinase FGGY	SO:0001217, UniRef:UniRef50_A0A380LL67, UniRef:UniRef90_R5MEV9
contig_17	cds	92	715	+	DCGIOH_00035		hypothetical protein	PFAM:PF02518.31
contig_17	cds	720	1208	+	DCGIOH_00036		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A3E5GK07, UniRef:UniRef90_UPI0025C3118E
contig_17	cds	1226	1831	+	DCGIOH_00037		VanZ-like domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1Y3YSY9
contig_17	cds	2302	2739	+	DCGIOH_00038		Sigma-70, region 4	RefSeq:WP_178872977.1, SO:0001217, UniParc:UPI00095A11BD, UniRef:UniRef100_A0AAE3DDJ4, UniRef:UniRef50_A0A0J9C9M4, UniRef:UniRef90_B9Y5U9
contig_17	cds	2723	2974	+	DCGIOH_00039		Helix-turn-helix conjugative transposon-like domain-containing protein	RefSeq:WP_291017929.1, SO:0001217, UniParc:UPI0025C31A75, UniRef:UniRef100_UPI0025C31A75, UniRef:UniRef50_R9M0H6, UniRef:UniRef90_B9Y5V0
contig_19	cds	1391	2005	-	DCGIOH_00040		5-deoxyglucuronate isomerase	SO:0001217, UniRef:UniRef50_A0A351F7H5
contig_20	cds	183	968	+	DCGIOH_00041		putative hydro-lyase	EC:4.2.1.48, GO:0003824, KEGG:K22210, SO:0001217, UniRef:UniRef50_P42966, UniRef:UniRef90_A0A3C2DUW6
contig_20	cds	983	1753	+	DCGIOH_00042		5-oxoprolinase subunit A	EC:3.5.2.9, KEGG:K07160, SO:0001217, UniRef:UniRef50_Q18BQ3, UniRef:UniRef90_R5MQI6
contig_21	cds	20	301	+	DCGIOH_00043		hypothetical protein	PFAM:PF01938.26, PFAM:PF18693.7
contig_21	cds	298	900	+	DCGIOH_00044	pgsA	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	EC:2.7.8.5, GO:0008444, GO:0008654, GO:0016020, KEGG:K00995, SO:0001217, UniParc:UPI0003364B02, UniRef:UniRef100_A0A9D9T035, UniRef:UniRef50_A0A7C6J6D3, UniRef:UniRef90_A0A3C2DX52
contig_21	ncRNA-region	944	1142	+			T-box leader	RFAM:RF00230, SO:0000140
contig_21	cds	1191	1871	+	DCGIOH_00045	cysE	serine O-acetyltransferase	EC:2.3.1.30, GO:0005737, GO:0006535, GO:0009001, SO:0001217, UniParc:UPI000335F194, UniRef:UniRef100_A0A9D9ZIL8, UniRef:UniRef50_A0A965WXX0, UniRef:UniRef90_A0A3C2DWZ6
contig_21	cds	1879	2187	-	DCGIOH_00046		hypothetical protein	
contig_22	cds	818	1645	+	DCGIOH_00047		Cof-type HAD-IIB family hydrolase	EC:3.1.3.104, KEGG:K21064, SO:0001217, UniRef:UniRef50_A0A3C2DVJ9, UniRef:UniRef90_A0A3C2DVJ9
contig_22	cds	1635	2696	-	DCGIOH_00048		Putative acyltransferase	SO:0001217, UniRef:UniRef50_R5ME47, UniRef:UniRef90_R5ME47
contig_22	tRNA	3052	3138	+	DCGIOH_00049	trnL	tRNA-Leu(cag)	SO:0000264
contig_22	cds	3425	4078	+	DCGIOH_00050		DUF4190 domain-containing protein	SO:0001217, UniRef:UniRef50_R5MEL1, UniRef:UniRef90_R5MEL1
contig_22	cds	4335	4766	+	DCGIOH_00051		Transcriptional regulator BadM/Rrf2 family	KEGG:K17472, SO:0001217, UniParc:UPI001AC1579B, UniRef:UniRef100_A0A8I1IXT5, UniRef:UniRef50_A0A1C6HM16, UniRef:UniRef90_R5MJU7
contig_23	cds	11	496	-	DCGIOH_00052		DUF4830 domain-containing protein	SO:0001217, UniParc:UPI000340EAD6, UniRef:UniRef100_A0A9E0P7Y4, UniRef:UniRef50_A0A971VPS3, UniRef:UniRef90_A0A3C2DV46
contig_23	cds	563	1105	-	DCGIOH_00053		ATPase	SO:0001217, UniParc:UPI00033549F3, UniRef:UniRef100_A0A9D9T3J4, UniRef:UniRef50_A0A348P5R3, UniRef:UniRef90_A0A3C2DU23
contig_24	cds	170	1387	+	DCGIOH_00054		LL-diaminopimelate aminotransferase	EC:2.6.1.83, GO:0008483, KEGG:K10206, SO:0001217, UniRef:UniRef50_A3DK17, UniRef:UniRef90_R5N3I4
contig_24	cds	1365	1799	-	DCGIOH_00055		hypothetical protein	
contig_25	cds	15	545	+	DCGIOH_00056		hypothetical protein	PFAM:PF00670.27, PFAM:PF02826.25
contig_25	cds	558	1127	+	DCGIOH_00057		dipicolinate synthase subunit B	GO:0003824, KEGG:K06411, SO:0001217, UniRef:UniRef50_A0A1Q6LD25, UniRef:UniRef90_R5MGH7
contig_25	cds	1275	2393	-	DCGIOH_00058	ftsZ	cell division protein FtsZ	GO:0000910, GO:0003924, GO:0005525, KEGG:K03531, SO:0001217, UniRef:UniRef50_A0A6N8HYM0, UniRef:UniRef90_A0A9D9ZF18
contig_26	cds	103	1431	+	DCGIOH_00059		MATE efflux family protein	SO:0001217, UniRef:UniRef50_A0A1C5RP18, UniRef:UniRef90_R5MMI8
contig_26	cds	1500	2273	-	DCGIOH_00060	spo0A	sporulation transcription factor Spo0A	GO:0000160, GO:0003677, GO:0005509, GO:0006355, GO:0042173, GO:0043937, GO:0051606, SO:0001217, UniParc:UPI001ACE812C, UniRef:UniRef100_A0A8I1LTE8, UniRef:UniRef50_A0A348P3E5, UniRef:UniRef90_A0A8I1LTE8
contig_26	cds	2488	3612	-	DCGIOH_00061	spoIVB	SpoIVB peptidase	EC:3.4.21.116, GO:0008236, GO:0030436, SO:0001217, UniRef:UniRef50_A0A944BT26, UniRef:UniRef90_A0A8I1LTN5
contig_27	cds	227	1285	-	DCGIOH_00062		branched-chain amino acid aminotransferase	EC:2.6.1.42, GO:0004084, GO:0009081, KEGG:K00826, SO:0001217, UniParc:UPI000ECC4515, UniRef:UniRef100_A0A9D9T3Z1, UniRef:UniRef50_A0A7G9FEI8, UniRef:UniRef90_R5MRJ7
contig_27	cds	1508	1960	+	DCGIOH_00063		C_GCAxxG_C_C family protein	SO:0001217, UniParc:UPI000EE640AC, UniRef:UniRef100_A0A9E0NX73, UniRef:UniRef50_A0A348P552, UniRef:UniRef90_A0A3C2DUZ6
contig_28	cds	61	1506	+	DCGIOH_00064		Elongation factor G	SO:0001217, UniRef:UniRef50_A0A1V5S645
contig_28	cds	1637	2695	+	DCGIOH_00065		DUF3048 domain-containing protein	SO:0001217, UniRef:UniRef50_R5MPY4, UniRef:UniRef90_R5MPY4
contig_29	cds	862	1809	-	DCGIOH_00066		histidine kinase	EC:2.7.13.3, KEGG:K19081, SO:0001217, UniRef:UniRef50_A0A174E227, UniRef:UniRef90_R5MY52
contig_29	cds	1815	2174	-	DCGIOH_00067		Stage 0 sporulation A-like protein	SO:0001217, UniRef:UniRef50_A0A351XN02
contig_30	cds	99	866	-	DCGIOH_00068	tpiA	triose-phosphate isomerase	EC:5.3.1.1, GO:0004807, GO:0006096, KEGG:K01803, SO:0001217, UniParc:UPI001ACFBAC4, UniRef:UniRef100_A0A8I1IW70, UniRef:UniRef50_P00943, UniRef:UniRef90_R5MI51
contig_30	cds	925	2034	-	DCGIOH_00069		Phosphoglycerate kinase	EC:2.7.2.3, KEGG:K00927, SO:0001217, UniRef:UniRef50_A0A959WBP9, UniRef:UniRef90_R5N1P9
contig_32	cds	180	470	+	DCGIOH_00070		hypothetical protein	
contig_33	cds	207	2096	-	DCGIOH_00071		hypothetical protein	PFAM:PF00521.26, PFAM:PF03989.18
contig_34	cds	416	742	-	DCGIOH_00072		phosphoribosyl-ATP diphosphatase	EC:3.6.1.31, GO:0000105, GO:0004636, SO:0001217, UniParc:UPI00033A8406, UniRef:UniRef100_A0A9E0JL39, UniRef:UniRef50_A0A3D5PAU4, UniRef:UniRef90_A0A9E0JL39
contig_34	cds	743	1069	-	DCGIOH_00073	hisI	phosphoribosyl-AMP cyclohydrolase	EC:3.5.4.19, GO:0000105, GO:0004635, SO:0001217, UniParc:UPI00033F71A3, UniRef:UniRef100_A0A3C2DVS6, UniRef:UniRef50_A5I247, UniRef:UniRef90_A0A3C2DVS6
contig_34	cds	1072	1644	-	DCGIOH_00074		1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	SO:0001217, UniRef:UniRef50_D4LEG3
