genome,location,length
ERR011347_MEGAHIT_TaxVamb_Refined.2.fa,/data/users/danross/MAG_Pipeline/pipeline_test/tutorial/work/17/0d7de762f27b8aa93a1ff484466857/input_fastas/ERR011347_MEGAHIT_TaxVamb_Refined.2.fa,1416416
ERR011348_MEGAHIT_TaxVamb_Refined.5.fa,/data/users/danross/MAG_Pipeline/pipeline_test/tutorial/work/17/0d7de762f27b8aa93a1ff484466857/input_fastas/ERR011348_MEGAHIT_TaxVamb_Refined.5.fa,4243097
ERR011348_MEGAHIT_MetaBinner_Refined.6_sub.fa,/data/users/danross/MAG_Pipeline/pipeline_test/tutorial/work/17/0d7de762f27b8aa93a1ff484466857/input_fastas/ERR011348_MEGAHIT_MetaBinner_Refined.6_sub.fa,1739025
ERR011348_MEGAHIT_TaxVamb_Refined.20.fa,/data/users/danross/MAG_Pipeline/pipeline_test/tutorial/work/17/0d7de762f27b8aa93a1ff484466857/input_fastas/ERR011348_MEGAHIT_TaxVamb_Refined.20.fa,968442
ERR011348_MEGAHIT_TaxVamb_Refined.15_sub.fa,/data/users/danross/MAG_Pipeline/pipeline_test/tutorial/work/17/0d7de762f27b8aa93a1ff484466857/input_fastas/ERR011348_MEGAHIT_TaxVamb_Refined.15_sub.fa,2049779
ERR011349_MEGAHIT_TaxVamb_Refined.1.fa,/data/users/danross/MAG_Pipeline/pipeline_test/tutorial/work/17/0d7de762f27b8aa93a1ff484466857/input_fastas/ERR011349_MEGAHIT_TaxVamb_Refined.1.fa,1252065
ERR011347_MEGAHIT_TaxVamb_Refined.1.fa,/data/users/danross/MAG_Pipeline/pipeline_test/tutorial/work/17/0d7de762f27b8aa93a1ff484466857/input_fastas/ERR011347_MEGAHIT_TaxVamb_Refined.1.fa,1305690
ERR011349_MEGAHIT_TaxVamb_Refined.2.fa,/data/users/danross/MAG_Pipeline/pipeline_test/tutorial/work/17/0d7de762f27b8aa93a1ff484466857/input_fastas/ERR011349_MEGAHIT_TaxVamb_Refined.2.fa,2293276
ERR011348_MEGAHIT_TaxVamb_Refined.44.fa,/data/users/danross/MAG_Pipeline/pipeline_test/tutorial/work/17/0d7de762f27b8aa93a1ff484466857/input_fastas/ERR011348_MEGAHIT_TaxVamb_Refined.44.fa,1785067
ERR011348_MEGAHIT_MetaBinner_Refined.1.fa,/data/users/danross/MAG_Pipeline/pipeline_test/tutorial/work/17/0d7de762f27b8aa93a1ff484466857/input_fastas/ERR011348_MEGAHIT_MetaBinner_Refined.1.fa,2281062
ERR011347_MEGAHIT_TaxVamb_Refined.43.fa,/data/users/danross/MAG_Pipeline/pipeline_test/tutorial/work/17/0d7de762f27b8aa93a1ff484466857/input_fastas/ERR011347_MEGAHIT_TaxVamb_Refined.43.fa,1118712
ERR011348_MEGAHIT_TaxVamb_Refined.16.fa,/data/users/danross/MAG_Pipeline/pipeline_test/tutorial/work/17/0d7de762f27b8aa93a1ff484466857/input_fastas/ERR011348_MEGAHIT_TaxVamb_Refined.16.fa,2012712
ERR011348_MEGAHIT_TaxVamb_Refined.6_sub.fa,/data/users/danross/MAG_Pipeline/pipeline_test/tutorial/work/17/0d7de762f27b8aa93a1ff484466857/input_fastas/ERR011348_MEGAHIT_TaxVamb_Refined.6_sub.fa,2734234
ERR011348_MEGAHIT_TaxVamb_Refined.21.fa,/data/users/danross/MAG_Pipeline/pipeline_test/tutorial/work/17/0d7de762f27b8aa93a1ff484466857/input_fastas/ERR011348_MEGAHIT_TaxVamb_Refined.21.fa,1104734
ERR011348_MEGAHIT_TaxVamb_Refined.10.fa,/data/users/danross/MAG_Pipeline/pipeline_test/tutorial/work/17/0d7de762f27b8aa93a1ff484466857/input_fastas/ERR011348_MEGAHIT_TaxVamb_Refined.10.fa,869213
