genome,cluster,score
ERR011348_MEGAHIT_TaxVamb_Refined.15_sub.fa,1_0,53.65656475879023
ERR011348_MEGAHIT_TaxVamb_Refined.21.fa,2_0,41.11687868148275
ERR011348_MEGAHIT_TaxVamb_Refined.6_sub.fa,3_0,71.55784238127362
ERR011349_MEGAHIT_TaxVamb_Refined.2.fa,4_0,82.24182144137606
ERR011348_MEGAHIT_TaxVamb_Refined.10.fa,5_0,52.28017852960168
ERR011348_MEGAHIT_TaxVamb_Refined.5.fa,6_0,80.97951427374285
ERR011348_MEGAHIT_MetaBinner_Refined.1.fa,7_1,97.80292934507163
ERR011348_MEGAHIT_MetaBinner_Refined.6_sub.fa,8_0,59.03492094970187
ERR011348_MEGAHIT_TaxVamb_Refined.44.fa,9_0,67.15552097266796
ERR011347_MEGAHIT_TaxVamb_Refined.2.fa,10_1,63.818638093030664
ERR011348_MEGAHIT_TaxVamb_Refined.20.fa,10_2,75.99520688667461
ERR011347_MEGAHIT_TaxVamb_Refined.43.fa,11_0,53.54673561686147
ERR011348_MEGAHIT_TaxVamb_Refined.16.fa,12_0,43.308861797416874
ERR011349_MEGAHIT_TaxVamb_Refined.1.fa,13_0,72.8723591686658
