k79_15973 flag=1 multi=6.0000 len=1009	ERR011349_MEGAHIT_TaxVamb.100
k79_17225 flag=1 multi=4.0000 len=1008	ERR011349_MEGAHIT_TaxVamb.101
k79_20922 flag=1 multi=6.0000 len=1601	ERR011349_MEGAHIT_TaxVamb.102
k79_21512 flag=1 multi=3.0000 len=1552	ERR011349_MEGAHIT_TaxVamb.103
k79_16492 flag=1 multi=10.0000 len=2806	ERR011349_MEGAHIT_TaxVamb.104
k79_14025 flag=1 multi=10.0000 len=6218	ERR011349_MEGAHIT_TaxVamb.104
k79_14038 flag=1 multi=12.0000 len=5556	ERR011349_MEGAHIT_TaxVamb.104
k79_20891 flag=1 multi=12.0000 len=2513	ERR011349_MEGAHIT_TaxVamb.104
k79_22289 flag=1 multi=7.0000 len=1733	ERR011349_MEGAHIT_TaxVamb.104
k79_7862 flag=1 multi=12.0000 len=3025	ERR011349_MEGAHIT_TaxVamb.104
k79_2872 flag=1 multi=10.0000 len=4441	ERR011349_MEGAHIT_TaxVamb.104
k79_32591 flag=1 multi=10.0000 len=2147	ERR011349_MEGAHIT_TaxVamb.104
k79_18036 flag=1 multi=14.0000 len=2042	ERR011349_MEGAHIT_TaxVamb.104
k79_18954 flag=1 multi=6.0000 len=1208	ERR011349_MEGAHIT_TaxVamb.104
k79_30762 flag=1 multi=9.0000 len=6606	ERR011349_MEGAHIT_TaxVamb.104
k79_30369 flag=1 multi=10.0000 len=2746	ERR011349_MEGAHIT_TaxVamb.104
k79_30233 flag=1 multi=11.0000 len=8173	ERR011349_MEGAHIT_TaxVamb.104
k79_12792 flag=1 multi=12.0000 len=2339	ERR011349_MEGAHIT_TaxVamb.104
k79_8614 flag=1 multi=20.0000 len=5310	ERR011349_MEGAHIT_TaxVamb.105
k79_14928 flag=1 multi=20.0000 len=4757	ERR011349_MEGAHIT_TaxVamb.106
k79_9647 flag=1 multi=25.0000 len=2817	ERR011349_MEGAHIT_TaxVamb.107
k79_6257 flag=1 multi=6.0000 len=2191	ERR011349_MEGAHIT_TaxVamb.108
k79_21490 flag=1 multi=11.0000 len=1521	ERR011349_MEGAHIT_TaxVamb.109
k79_27733 flag=1 multi=17.0000 len=5083	ERR011349_MEGAHIT_TaxVamb.10
k79_19985 flag=1 multi=6.0000 len=1369	ERR011349_MEGAHIT_TaxVamb.110
k79_2973 flag=1 multi=5.0000 len=1274	ERR011349_MEGAHIT_TaxVamb.111
k79_3494 flag=1 multi=6.0000 len=1085	ERR011349_MEGAHIT_TaxVamb.112
k79_35891 flag=1 multi=8.0000 len=1721	ERR011349_MEGAHIT_TaxVamb.113
k79_3818 flag=1 multi=16.0000 len=1484	ERR011349_MEGAHIT_TaxVamb.114
k79_5919 flag=1 multi=17.0000 len=1229	ERR011349_MEGAHIT_TaxVamb.115
k79_20851 flag=1 multi=6.0000 len=1003	ERR011349_MEGAHIT_TaxVamb.116
k79_22706 flag=1 multi=4.0000 len=1000	ERR011349_MEGAHIT_TaxVamb.117
k79_28312 flag=1 multi=4.0000 len=1005	ERR011349_MEGAHIT_TaxVamb.117
k79_4246 flag=1 multi=4.0000 len=1189	ERR011349_MEGAHIT_TaxVamb.117
k79_4118 flag=1 multi=9.0000 len=1994	ERR011349_MEGAHIT_TaxVamb.117
k79_19177 flag=1 multi=5.0000 len=1312	ERR011349_MEGAHIT_TaxVamb.117
k79_23608 flag=1 multi=5.0000 len=1111	ERR011349_MEGAHIT_TaxVamb.117
k79_5536 flag=1 multi=4.0000 len=1012	ERR011349_MEGAHIT_TaxVamb.117
k79_3836 flag=1 multi=3.0000 len=1133	ERR011349_MEGAHIT_TaxVamb.117
k79_27209 flag=1 multi=10.0000 len=1086	ERR011349_MEGAHIT_TaxVamb.117
k79_4395 flag=1 multi=10.0000 len=2212	ERR011349_MEGAHIT_TaxVamb.117
k79_14035 flag=1 multi=6.0000 len=1483	ERR011349_MEGAHIT_TaxVamb.117
k79_23090 flag=1 multi=4.0000 len=1063	ERR011349_MEGAHIT_TaxVamb.117
k79_12388 flag=1 multi=4.0000 len=1302	ERR011349_MEGAHIT_TaxVamb.117
k79_36298 flag=1 multi=6.0000 len=1237	ERR011349_MEGAHIT_TaxVamb.117
k79_21984 flag=1 multi=4.8371 len=1601	ERR011349_MEGAHIT_TaxVamb.117
k79_14905 flag=1 multi=5.0000 len=1542	ERR011349_MEGAHIT_TaxVamb.117
k79_17865 flag=1 multi=5.0000 len=1104	ERR011349_MEGAHIT_TaxVamb.117
k79_23884 flag=1 multi=5.0000 len=1402	ERR011349_MEGAHIT_TaxVamb.117
k79_21997 flag=1 multi=5.0000 len=1290	ERR011349_MEGAHIT_TaxVamb.117
k79_30376 flag=1 multi=6.0000 len=1056	ERR011349_MEGAHIT_TaxVamb.117
k79_14892 flag=1 multi=4.0000 len=1089	ERR011349_MEGAHIT_TaxVamb.117
k79_703 flag=1 multi=6.0000 len=1713	ERR011349_MEGAHIT_TaxVamb.117
k79_4584 flag=1 multi=3.0000 len=1007	ERR011349_MEGAHIT_TaxVamb.117
k79_23398 flag=1 multi=4.0000 len=1221	ERR011349_MEGAHIT_TaxVamb.117
k79_28050 flag=1 multi=5.0000 len=1092	ERR011349_MEGAHIT_TaxVamb.117
k79_8402 flag=1 multi=4.0000 len=1037	ERR011349_MEGAHIT_TaxVamb.117
k79_29022 flag=1 multi=6.0000 len=1212	ERR011349_MEGAHIT_TaxVamb.117
k79_34795 flag=1 multi=4.0000 len=1013	ERR011349_MEGAHIT_TaxVamb.117
k79_12167 flag=1 multi=11.0000 len=1098	ERR011349_MEGAHIT_TaxVamb.117
k79_15585 flag=1 multi=5.0000 len=1147	ERR011349_MEGAHIT_TaxVamb.117
k79_29776 flag=1 multi=5.0000 len=1229	ERR011349_MEGAHIT_TaxVamb.117
k79_18363 flag=1 multi=5.0000 len=1607	ERR011349_MEGAHIT_TaxVamb.117
k79_2650 flag=1 multi=6.0000 len=1299	ERR011349_MEGAHIT_TaxVamb.117
k79_36305 flag=1 multi=6.0000 len=1125	ERR011349_MEGAHIT_TaxVamb.117
k79_1557 flag=1 multi=7.0000 len=1200	ERR011349_MEGAHIT_TaxVamb.117
k79_11889 flag=1 multi=6.4279 len=1348	ERR011349_MEGAHIT_TaxVamb.117
k79_2063 flag=1 multi=4.0000 len=1357	ERR011349_MEGAHIT_TaxVamb.117
k79_19980 flag=1 multi=4.0000 len=1947	ERR011349_MEGAHIT_TaxVamb.117
k79_7985 flag=1 multi=5.0000 len=1088	ERR011349_MEGAHIT_TaxVamb.117
k79_5611 flag=1 multi=5.0000 len=1519	ERR011349_MEGAHIT_TaxVamb.117
k79_4726 flag=1 multi=5.0000 len=2222	ERR011349_MEGAHIT_TaxVamb.117
k79_7828 flag=1 multi=4.0000 len=1320	ERR011349_MEGAHIT_TaxVamb.117
k79_8108 flag=1 multi=6.0000 len=1067	ERR011349_MEGAHIT_TaxVamb.117
k79_26688 flag=1 multi=7.0000 len=1829	ERR011349_MEGAHIT_TaxVamb.117
k79_6631 flag=1 multi=12.0711 len=1035	ERR011349_MEGAHIT_TaxVamb.117
k79_27992 flag=1 multi=6.0000 len=1090	ERR011349_MEGAHIT_TaxVamb.117
k79_6383 flag=1 multi=4.0000 len=1088	ERR011349_MEGAHIT_TaxVamb.117
k79_16400 flag=1 multi=5.0000 len=1730	ERR011349_MEGAHIT_TaxVamb.117
k79_31439 flag=1 multi=6.0000 len=1299	ERR011349_MEGAHIT_TaxVamb.117
k79_13919 flag=1 multi=6.0000 len=1103	ERR011349_MEGAHIT_TaxVamb.117
k79_1217 flag=1 multi=5.0000 len=1209	ERR011349_MEGAHIT_TaxVamb.117
k79_27212 flag=1 multi=4.0000 len=1267	ERR011349_MEGAHIT_TaxVamb.117
k79_22765 flag=1 multi=7.0000 len=2094	ERR011349_MEGAHIT_TaxVamb.117
k79_34798 flag=1 multi=5.0000 len=1013	ERR011349_MEGAHIT_TaxVamb.117
