#Annotated with Bakta v1.11.4, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	2676	3623	+	FIGEMF_00002	35.7	5.1		
contig_2	3142	3231	-	FIGEMF_00017	3.5	8.1		
contig_3	2727	2888	-	FIGEMF_00022	6.1	9.0		RefSeq:WP_021883900.1, SO:0001217, UniParc:UPI00033A5CDC, UniRef:UniRef100_A0A1C6FG92, UniRef:UniRef50_A0A2N0V0G2, UniRef:UniRef90_A0A2N0V0G2
contig_3	31027	32964	-	FIGEMF_00053	71.8	4.9		
contig_4	6184	6564	+	FIGEMF_00078	14.2	4.1		RefSeq:WP_021883037.1, SO:0001217, UniParc:UPI0003401B2E, UniRef:UniRef100_UPI0003401B2E, UniRef:UniRef50_A0A2N0UZS1, UniRef:UniRef90_A0A2N0UZS1
contig_4	9659	10342	+	FIGEMF_00082	26.1	4.8		SO:0001217, UniRef:UniRef50_A0A2N0UZV4, UniRef:UniRef90_A0A2N0UZV4
contig_5	5112	5567	+	FIGEMF_00106	16.2	9.6		
contig_5	13846	17319	-	FIGEMF_00112	126.7	5.4	PF09479.16|Flg_new, PF16738.10|CBM26, PF18998.6|Flg_new_2	PFAM:PF09479.16, PFAM:PF16738.10, PFAM:PF18998.6
contig_5	17348	19282	-	FIGEMF_00113	71.5	5.2		SO:0001217, UniRef:UniRef50_A0A2N0UYS5
contig_6	4574	4876	+	FIGEMF_00120	11.5	9.8		RefSeq:WP_015522621.1, SO:0001217, UniParc:UPI0001AEDFD4, UniRef:UniRef100_A0A413Q7M6, UniRef:UniRef50_A0A174BCT3, UniRef:UniRef90_A0A3E4MC30
contig_6	4887	5159	+	FIGEMF_00121	10.6	5.3		RefSeq:WP_029732141.1, SO:0001217, UniParc:UPI0002FE9A40, UniRef:UniRef100_A0A396FWA3, UniRef:UniRef50_R9KZT1, UniRef:UniRef90_A0A3A6K0S1
contig_7	14207	14791	+	FIGEMF_00137	22.7	5.0		RefSeq:WP_243142272.1, SO:0001217, UniParc:UPI001FAA6CFE, UniRef:UniRef100_A0A6L6L3Q3, UniRef:UniRef50_D4JDL4, UniRef:UniRef90_A0A174M8P7
contig_7	31317	31589	-	FIGEMF_00151	10.3	7.8		
contig_9	4853	5680	+	FIGEMF_00167	31.3	7.4		SO:0001217, UniRef:UniRef50_A0A2N0UV20, UniRef:UniRef90_A0A2N0UV20
contig_10	286	561	+	FIGEMF_00171	10.3	5.4		
contig_10	592	1404	+	FIGEMF_00172	30.2	6.1	PF13240.11|Zn_Ribbon_1, PF13248.11|Zn_ribbon_3	PFAM:PF13240.11, PFAM:PF13248.11
contig_10	4562	5557	+	FIGEMF_00176	37.0	6.4		
contig_10	7295	7654	+	FIGEMF_00180	13.7	9.4		RefSeq:WP_021883162.1, SO:0001217, UniParc:UPI00033C1BA1, UniRef:UniRef100_A0A1C6I4P1, UniRef:UniRef50_A0A2N0V0J8, UniRef:UniRef90_A0A2N0V0J8
contig_10	8435	8584	+	FIGEMF_00183	5.9	4.5		RefSeq:WP_015522864.1, SO:0001217, UniParc:UPI0001CD6064, UniRef:UniRef100_A0A1C6I2G3, UniRef:UniRef50_A0A1C6I2G3, UniRef:UniRef90_A0A1C6I2G3
contig_10	28320	29201	+	FIGEMF_00201	32.1	4.6		SO:0001217, UniRef:UniRef50_A0A2N0UJ38, UniRef:UniRef90_A0A2N0UJ38
contig_11	94	483	+	FIGEMF_00204	14.7	4.8		
contig_11	5740	6834	+	FIGEMF_00211	41.0	6.3	PF14471.11|DUF4428, PF20481.3|DUF6721	PFAM:PF14471.11, PFAM:PF20481.3, SO:0001217, UniRef:UniRef50_A0A2N0UZ55
contig_11	6882	7268	+	FIGEMF_00212	14.7	5.1		SO:0001217, UniRef:UniRef50_A0A2N0UZ49, UniRef:UniRef90_A0A2N0UZ49
contig_12	14516	14773	+	FIGEMF_00234	9.7	4.3		SO:0001217, UniParc:UPI0008214ACF, UniRef:UniRef100_A0A1C6HI62, UniRef:UniRef50_R6N646, UniRef:UniRef90_A0A1C6HI62
contig_12	17556	20369	+	FIGEMF_00240	107.4	9.8	PF01551.29|Peptidase_M23	PFAM:PF01551.29
contig_12	20414	20686	+	FIGEMF_00241	10.3	6.3		
contig_12	20676	21395	+	FIGEMF_00242	26.0	4.1		
contig_12	23486	23914	+	FIGEMF_00244	16.4	4.7		SO:0001217, UniRef:UniRef50_A0A374URD9
contig_12	25035	25790	+	FIGEMF_00246	27.9	4.4		
contig_12	25817	27091	+	FIGEMF_00247	47.7	9.0	PF00041.27|fn3, PF21910.2|GH85_C	PFAM:PF00041.27, PFAM:PF21910.2
contig_12	27113	27472	+	FIGEMF_00248	13.3	4.4		SO:0001217, UniRef:UniRef50_A0A374UQR2
contig_14	4218	4385	-	FIGEMF_00257	6.4	8.1		RefSeq:WP_217744875.1, SO:0001217, UniParc:UPI001C38716B, UniRef:UniRef100_A0AAW4N4U3, UniRef:UniRef50_A0AAW5IRK3, UniRef:UniRef90_A0AAW5IRK3
contig_17	44887	45093	+	FIGEMF_00313	8.2	7.8		RefSeq:WP_015523639.1, SO:0001217, UniParc:UPI0001CD4747, UniRef:UniRef100_A0A1C6C6R4, UniRef:UniRef50_A0A3D0KLT8, UniRef:UniRef90_A0A1C6C6R4
contig_17	45394	46002	-	FIGEMF_00315	22.2	5.1		SO:0001217, UniRef:UniRef50_A0A2N0UUG8, UniRef:UniRef90_A0A1C6C6T5
contig_17	46242	47555	+	FIGEMF_00316	47.1	4.4		SO:0001217, UniRef:UniRef50_A0A2N0UUD3, UniRef:UniRef90_A0A1C6C761
contig_17	70362	70844	+	FIGEMF_00333	18.5	9.0		SO:0001217, UniRef:UniRef50_A0A2N0UU73, UniRef:UniRef90_UPI00241E33CB
contig_19	13482	13934	+	FIGEMF_00362	17.6	4.6		RefSeq:WP_015530028.1, SO:0001217, UniParc:UPI0001CDA607, UniRef:UniRef100_A0A136Q5P0, UniRef:UniRef50_A0A136Q5P0, UniRef:UniRef90_A0A136Q5P0
contig_19	37697	37996	-	FIGEMF_00381	11.8	8.7		RefSeq:WP_161209660.1, SO:0001217, UniParc:UPI001369DA16, UniRef:UniRef100_A0AAE3DW53, UniRef:UniRef50_A0A173V6Z1, UniRef:UniRef90_A0A173V6Z1
contig_20	3912	4289	-	FIGEMF_00394	14.2	9.0		
contig_21	2352	3038	+	FIGEMF_00397	26.8	4.5	PF00404.24|Dockerin_1	PFAM:PF00404.24
contig_21	18258	18821	+	FIGEMF_00412	21.9	4.1		SO:0001217, UniRef:UniRef50_UPI00265D9132, UniRef:UniRef90_UPI00265D9132
contig_24	231	1775	+	FIGEMF_00423	53.0	4.4	PF01391.23|Collagen, PF13306.12|LRR_5	PFAM:PF01391.23, PFAM:PF13306.12
contig_25	3268	3498	-	FIGEMF_00431	8.5	9.0		
contig_26	3382	3603	+	FIGEMF_00436	8.1	5.6		
contig_26	3718	3942	+	FIGEMF_00437	8.2	5.7		
contig_26	3935	5074	+	FIGEMF_00438	43.1	9.1	PF19481.4|DUF6017	PFAM:PF19481.4, SO:0001217, UniRef:UniRef50_A0A374UQH9
contig_26	13495	13698	+	FIGEMF_00448	7.7	6.5		SO:0001217, UniRef:UniRef50_A0A1C6I822, UniRef:UniRef90_A0A1C6I822
contig_26	13862	14293	+	FIGEMF_00449	16.6	8.9		SO:0001217, UniParc:UPI000820E004, UniRef:UniRef100_A0A1C6I804, UniRef:UniRef50_A0A1C6I804, UniRef:UniRef90_A0A1C6I804
contig_26	14338	14535	+	FIGEMF_00450	7.5	6.7		SO:0001217, UniParc:UPI00082269C7, UniRef:UniRef100_A0A1C6I746, UniRef:UniRef50_A0A1C6I746, UniRef:UniRef90_A0A1C6I746
contig_30	362	958	+	FIGEMF_00480	21.4	4.7		
contig_30	8766	8966	+	FIGEMF_00489	7.7	5.4		
contig_30	9047	9316	+	FIGEMF_00490	10.3	6.2		SO:0001217, UniRef:UniRef50_A0A1C6CTU0, UniRef:UniRef90_A0A1C6CTU0
contig_31	275	946	-	FIGEMF_00508	25.6	5.4		SO:0001217, UniRef:UniRef50_UPI0024315F3B
